execution_date,video_id,views_delta,likes_delta,comments_delta,previous_views,current_views,previous_likes,current_likes,previous_comments,current_comments,is_new_video,title_changed,description_changed,tags_changed
2026-05-07T11:23:42.805421+00:00,SzG_O-In1vg,77171,2822,54,575138,652309,22035,24857,525,579,False,False,False,False
2026-05-07T11:23:42.805421+00:00,1djBIY7HO0k,122748,3533,26,1862016,1984764,63353,66886,640,666,False,False,False,False
2026-05-07T11:23:42.805421+00:00,VRLM4RDuurc,651,19,1,4276,4927,297,316,15,16,False,False,False,False
2026-05-07T11:23:42.805421+00:00,em_K85l2WNY,745,100,1,3167,3912,311,411,6,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,xIE99iYdH_o,58,4,0,2626,2684,210,214,3,3,False,False,False,False
2026-05-07T11:23:42.805421+00:00,VjcXNeQ8A_0,1950,120,0,8160,10110,752,872,7,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Z1Ac2v8mULM,774,43,1,10138,10912,877,920,21,22,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Q3JZcugU5zw,139,15,0,4354,4493,391,406,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,-lDwUYFl7Iw,711,43,0,5090,5801,581,624,8,8,False,False,False,False
2026-05-07T11:23:42.805421+00:00,WfDXOW1dNo4,328,25,0,10212,10540,721,746,6,6,False,False,False,False
2026-05-07T11:23:42.805421+00:00,yRy6KDl2xWo,29,8,0,2659,2688,60,68,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,BHCpoVaQyyw,626,36,0,6931,7557,552,588,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Gs0INaKmzzQ,377,16,0,7257,7634,474,490,7,7,False,False,False,False
2026-05-07T11:23:42.805421+00:00,NUQcYZADgLw,3024,86,2,16519,19543,877,963,19,21,False,False,False,False
2026-05-07T11:23:42.805421+00:00,kY7n4gNtHXA,207,1,0,6862,7069,389,390,20,20,False,False,False,False
2026-05-07T11:23:42.805421+00:00,3yj9rCGNqjU,4395,79,2,29985,34380,1224,1303,36,38,False,False,False,False
2026-05-07T11:23:42.805421+00:00,-fWUTi8u0_k,5751,87,3,55025,60776,1872,1959,130,133,False,False,False,False
2026-05-07T11:23:42.805421+00:00,GlOQIsLX2rA,14779,1087,5,367758,382537,23726,24813,497,502,False,False,False,False
2026-05-07T11:23:42.805421+00:00,0AheTRgTBzU,3058,158,2,32198,35256,1915,2073,48,50,False,False,False,False
2026-05-07T11:23:42.805421+00:00,MKL0tk-3UM8,2674,55,8,36857,39531,1217,1272,244,252,False,False,False,False
2026-05-07T11:23:42.805421+00:00,dk-pvsityfs,461,14,1,10339,10800,441,455,7,8,False,False,False,False
2026-05-07T11:23:42.805421+00:00,wAi4zvgGy4w,1392,43,1,12847,14239,761,804,29,30,False,False,False,False
2026-05-07T11:23:42.805421+00:00,rPAGWO3mtuE,599,28,1,4746,5345,193,221,3,4,False,False,False,False
2026-05-07T11:23:42.805421+00:00,SnqFU1SppX8,98,6,0,1670,1768,97,103,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,fPnt0Q0vl-Y,163,7,0,3546,3709,153,160,1,1,False,False,False,False
2026-05-07T11:23:42.805421+00:00,KLYwFWIhPWI,10343,450,18,81128,91471,5677,6127,295,313,False,False,False,False
2026-05-07T11:23:42.805421+00:00,Lc4kaEMcYPQ,1454,124,2,5704,7158,455,579,28,30,False,False,False,False
2026-05-07T11:23:42.805421+00:00,fbStigxrqsk,367,24,5,3498,3865,376,400,182,187,False,False,False,False
2026-05-07T11:23:42.805421+00:00,FGFaysGrKng,5950,303,13,139923,145873,10926,11229,1348,1361,False,False,False,False
2026-05-07T11:23:42.805421+00:00,wDUtigax8Lg,53968,2469,17,969038,1023006,39599,42068,445,462,False,False,False,False
2026-05-07T11:23:42.805421+00:00,XiPhamWTPcU,11549,504,1,260226,271775,14713,15217,225,226,False,False,False,False
