grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UCm5iBOcQ0GET_2FqFI61QDA,Cara Nicole,3,2,14457,641,44,0.051838,yXl7MRLoxrM,Summer ✈️ Prices Are Surging,5999
monthly,2026-05-01,2026-05-31,UCX16cLWl6dCjlZMgUBxgGkA,CuriosaMente,2,2,14416,1270,11,0.113414,GhfJPapoAXQ,¿Justicia medieval?,11121
monthly,2026-05-01,2026-05-31,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,10,9,13696,160,1,0.011466,g4Jne1qDDhU,Don't try to learn a new skill in a vacuum - build with a goal in mind,4547
monthly,2026-05-01,2026-05-31,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,2,2,13583,203,4,0.024251,GDKYXgIvsis,Toronto's $27BN Subway GAMBLE,9253
monthly,2026-05-01,2026-05-31,UCB34YbuG6ThXJzJsDAII5Dw,math2me,4,4,12788,691,9,0.022291,IAzrBhNOARY,Binomio al cuadrado geométricamente #matematicas,9774
monthly,2026-05-01,2026-05-31,UC5rJaxmE3UyVz59OGxbPdAg,Noticias Robotitus ,2,2,12205,588,10,0.045113,BdOfmPe3j1s,Científicos Crean Engranajes Líquidos que Giran sin Contacto 🤯￼,12205
monthly,2026-05-01,2026-05-31,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,6,3,11246,471,7,0.036679,Bk-kfubu_d0,¿El sistema educativo se queda atrás?,5353
monthly,2026-05-01,2026-05-31,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,1,1,9908,309,14,0.044864,t3ftrRvYO8w,"We used @AdobeFirefly to plan, shoot, and finish this video faster! Check it out! #adobepartner",9908
monthly,2026-05-01,2026-05-31,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,6,6,9099,231,9,0.07059,nxmAuqCYUBw,¿iPhone con Android o Samsung con iOS? El dilema que rompería el mercado,4706
monthly,2026-05-01,2026-05-31,UCS0lmlVIYVz2qeWlZ_ynIWg,AJ+ Español,5,5,9032,785,91,0.108808,QdEIhiHbsSY,Conmemoran en México los 78 años de la Nakba,5020
monthly,2026-05-01,2026-05-31,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,3,3,7156,70,6,0.01374,bY8RFbMbI4c,"Gary Marcus explains the “Eliza Effect."" #worldsciencefestival #briangreene #garymarcus",5674
monthly,2026-05-01,2026-05-31,UCb8GKeOvI7WsFUkB4UVAeXA,Cordura Artificial,1,0,6882,384,25,0.07882,0SSctcuOy0o,Mi nuevo lector de E-books #productividad #libros #lectura #tecnologia,6882
monthly,2026-05-01,2026-05-31,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,11,11,6738,101,1,0.01763,otMCRFF0GkY,¿Comprar ACTIVOS cuando NADIE los QUIERE? 😎 #finect,1648
monthly,2026-05-01,2026-05-31,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,1,1,6716,135,9,0.028768,xitFlW5HhLM,How do I know if I have childhood trauma? | Nicole Lepera,6716
monthly,2026-05-01,2026-05-31,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,2,0,6382,286,12,0.051559,-6t20SnbOyc,"Un buen clasista no es aquel que juzga, es que el describe la realidad.",5200
monthly,2026-05-01,2026-05-31,UCtqOng3GVhQVu1Gl-3UlyAQ,Christian Nodal,2,2,5722,233,23,0.061036,iYF8MBXhHPc,Se lo digo con respeto!,3252
monthly,2026-05-01,2026-05-31,UCUXLlsi8mQeP0TvGbmSn8iw,Sopitas,5,4,5428,175,1,0.02962,oWNo9nE0dao,"Sopitas FC: futbol, Mundial y pasión sin filtro",4712
