execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-22T12:02:39.617608+00:00,UC52X5wxOL_s5yw0dQk7NtgA,Associated Press,186,51,0.019309,43.268817,0.978495,72921,15,x07sYDEfGsA,"Mark Fuhrman, former detective convicted of lying at OJ Simpson trial, dies",6894,69.65812,69.65812
2026-05-22T12:02:39.617608+00:00,UC08mnbiC4FykqpHqbEWgFcg,ESPN Deportes,77,41,0.015914,34.974026,0.87013,32741,9,fdT3ydTr32I,Lamine Yamal se está cuidando para llegar con todo al Mundial 😤⚽️🇪🇸 (Vía @kingsleague_es/ig) #shorts,6435,61.538462,61.538462
2026-05-22T12:02:39.617608+00:00,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,2,3156.5,0.024394,46.5,1,6313,0,GDKYXgIvsis,Toronto's $27BN Subway GAMBLE,5947,43.162393,43.162393
2026-05-22T12:02:39.617608+00:00,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,11,22,0.051329,37.727273,1,6351,1,UI29x4gJEKI,Resume todos tus proyectos para pasárselos a la IA 👀 #desarrolloweb #programacion,5739,43.589744,43.589744
2026-05-22T12:02:39.617608+00:00,UCwIWAbIeu0xI0ReKWOcw3eg,Unspeakable,1,5651,0.043954,60,1,5651,0,t3ftrRvYO8w,"We used @AdobeFirefly to plan, shoot, and finish this video faster! Check it out! #adobepartner",5651,41.452991,41.452991
2026-05-22T12:02:39.617608+00:00,UCucNB6GOncGkTMB55ZrjYvg,Recetas de Esbieta,3,2594,0.027735,22,1,8367,0,45fcyJEjx1U,Bizcocho de zanahoria #bizcochodezanahoria #bizcocho #zanahoria # #receta #reposteria,5640,45.726496,45.726496
2026-05-22T12:02:39.617608+00:00,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,10,754,0.015024,38.9,1,11892,1,wrp-mZukHrc,Why Job Hopping Keeps Coming Up,5353,49.57265,49.57265
2026-05-22T12:02:39.617608+00:00,UC0C-w0YjGpqDXGB8IHb662A,Ed Sheeran,5,3748,0.036182,38.8,1,15010,0,PnDTh-sbFVU,I told Martin if I get 3 pencils in we can release Repeat it for his birthday,5149,51.282051,51.282051
2026-05-22T12:02:39.617608+00:00,UCddn8dUxYdgJz3Qr5mjADtA,NutritionFacts.org,5,478,0.05612,34.6,1,6112,0,LIrqDNMl4SE,Black Bean Burgers  #dailydozen #healthyfood #easyhealthymeals,4816,41.880342,41.880342
2026-05-22T12:02:39.617608+00:00,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,1,4588,0.059429,59,1,4588,0,U5l0Z8T4tCk,Spotify ?,4588,39.316239,39.316239
2026-05-22T12:02:39.617608+00:00,UCjgl7IsyBNE6bl7d5RnnFXg,Cocina con Coqui,2,4495,0.063899,56,1,4495,1,5DHdqYjVQyY,El Plato de Snack PERFECTO!! 😍,4495,38.888889,38.888889
2026-05-22T12:02:39.617608+00:00,UC9MAhZQQd9egwWCxrwSIsJQ,HISTORY,13,241.5,0.020553,70.307692,0.307692,11103,1,h5J1sGmoSMA,"""Alone: World Championship"" Premieres Wednesday, June 17 on The HISTORY Channel",4337,47.863248,47.863248
2026-05-22T12:02:39.617608+00:00,UCBHcMCGaiJhv-ESTcWGJPcw,NVIDIA Developer,1,4188,0.013413,44,1,4188,0,pUo8RdgtYI0,Jensen Huang on What Makes NVIDIA's Architecture Unique,4188,37.606838,37.606838
2026-05-22T12:02:39.617608+00:00,UCA2tt9GSU2sl8rAqjlLR3mQ,GeorgeNotFound,1,4110,0.042222,50,1,4110,0,XZhtfrppsqo,Minecraft Arrow Toss...,4110,37.179487,37.179487
2026-05-22T12:02:39.617608+00:00,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,7,146,0.016017,48.714286,1,5215,0,KJ2iNF4lAn8,The Batman 2 just got way more interesting after this cast reveal 🦇🎬 #thebatman2,4082,41.025641,41.025641
2026-05-22T12:02:39.617608+00:00,UCMmaBzfCCwZ2KqaBJjkj0fw,Kings and Generals,1,3961,0.032594,127,0,3961,0,9MF9mPaFTn0,Ukraine Under Mongol Control The Forgotten Century #history #ukraine #shorts,3961,36.324786,36.324786
2026-05-22T12:02:39.617608+00:00,UCaVPhFg-Ax873wvhbNitsrQ,El Robot de Platón,9,810,0.053119,37.222222,1,10119,0,gSkkZFzUsBU,La Mentira Más Grande de la Luna,3782,47.435897,47.435897
2026-05-22T12:02:39.617608+00:00,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,7,436,0.02974,36.571429,1,6519,1,sAWPxzrfsz0,Cuando perdí mis piernas… el amor me sanó,3664,44.017094,44.017094
2026-05-22T12:02:39.617608+00:00,UC52kszkc08-acFOuogFl5jw,Tibees,4,385,0.072845,47,1,4078,1,ms2TUal9xmI,New book alert 🚨,3523,36.752137,36.752137
2026-05-22T12:02:39.617608+00:00,UCYUQQgogVeQY8cMQamhHJcg,CinemaSins,14,76,0.013173,27.142857,1,7283,2,oM5A-h0jaIQ,Can Hollywood turn a video game into a good movie? #doom #cinemasins,3417,44.444444,44.444444
2026-05-22T12:02:39.617608+00:00,UCrsyfsHNdpB5U_FHENCuB2A,El Cubil de Peter,1,3247,0.029995,75,0,3247,0,jZVixFS9WlM,Encuentran DIENTE de NEANDERTAL que deja DESCONCERTADOS a los arqueologos #shorts,3247,34.188034,34.188034
2026-05-22T12:02:39.617608+00:00,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,1,3203,0.07068,57,1,3203,0,ArA_8v8LTfY,"hay una CRISIS en China, ¡todo mundo tiene casa propia!",3203,33.333333,33.333333
2026-05-22T12:02:39.617608+00:00,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,15,58.5,0.034577,47.8,0.933333,6144,1,9_Pu40iSas0,Every great AI engineer is a software engineer first 💻,3146,42.307692,42.307692
2026-05-22T12:02:39.617608+00:00,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,3,1748.5,0.016147,24,1,3497,1,bYyU7tpuVmY,Claude Code Agent View Explained,2959,35.042735,35.042735
2026-05-22T12:02:39.617608+00:00,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,20,38,0.017036,59.75,0.9,4279,2,xsZFnUxqpjQ,Judge bars ICE arrests at New York City immigration courts,2959,38.034188,38.034188
2026-05-22T12:02:39.617608+00:00,UCvksjnr7kInzcIjMpJpqF2A,Little Angel: Nursery Rhymes & Kids Songs,3,1308,0.00567,23.666667,1,5208,0,RdWzJ2MM6yo,Baby John Soccer Paper Crafting ⚽✂️ #littleangel,2883,40.598291,40.598291
2026-05-22T12:02:39.617608+00:00,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,1,2747,0.020112,46,1,2747,0,iRach9lpIlg,Wombats Poop Cubes,2747,32.905983,32.905983
2026-05-22T12:02:39.617608+00:00,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,2,1654.5,0.035541,46,1,3309,0,4s9LuOSR3Q4,What would happen if the Sun dissapeared?,2614,34.615385,34.615385
2026-05-22T12:02:39.617608+00:00,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,7,30.5,0.049844,82.714286,0.571429,2537,1,Rzj58_gC25s,FDE: el nuevo programador para la era de la IA,2336,32.051282,32.051282
2026-05-22T12:02:39.617608+00:00,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,10,692,0.059229,17.2,1,8079,1,DVksAVsBzlc,"Si te molesta como a mí, poné el límite.",2154,44.871795,44.871795
2026-05-22T12:02:39.617608+00:00,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,4,518.5,0.024748,47,1,3217,0,hFbKN-PWjjI,¿Por qué es TAN INTERESANTE el Bitcoin?,2111,33.760684,33.760684
2026-05-22T12:02:39.617608+00:00,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,5,980.5,0.080096,50.8,1,4458,1,rpLw85zyu4I,"You can only save one song from Hot Space, which ones are you letting go? 😬 #queen",2101,38.461538,38.461538
2026-05-22T12:02:39.617608+00:00,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,64.5,0.020547,56.5,1,2119,0,ipIOj3KS3JU,¿CLASES de PARTO estando EMBARAZADO?,1938,30.769231,30.769231
2026-05-22T12:02:39.617608+00:00,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,5,7,0.040104,52,1,1958,0,Bk-kfubu_d0,¿El sistema educativo se queda atrás?,1876,30.34188,30.34188
2026-05-22T12:02:39.617608+00:00,UCX16cLWl6dCjlZMgUBxgGkA,CuriosaMente,2,1772,0.1311,90,0,1772,1,GhfJPapoAXQ,¿Justicia medieval?,1772,29.91453,29.91453
2026-05-22T12:02:39.617608+00:00,UCmObdAaNbtVVR1OkKUsdgqg,Las Recetas de MJ,3,1212,0.041554,110,0.333333,2424,1,_LCW_N8FwJg,10 comidas típicas de Irlanda #shorts,1738,31.623932,31.623932
2026-05-22T12:02:39.617608+00:00,UCB34YbuG6ThXJzJsDAII5Dw,math2me,4,16,0.020861,28.25,1,1576,1,IAzrBhNOARY,Binomio al cuadrado geométricamente #matematicas,1551,29.059829,29.059829
2026-05-22T12:02:39.617608+00:00,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,8,608,0.008906,27.5,1,6205,0,3KH3_IDAFvw,Five Senses 🖐️👂👃🧠👀 Sensory Song @canticosworld #shortsforkids,1522,42.735043,42.735043
2026-05-22T12:02:39.617608+00:00,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,5,1023,0.047021,77.6,0,4955,0,SRq2k75uLVo,Trump desclasifica informes del FBI sobre... extraterrestres,1499,39.74359,39.74359
2026-05-22T12:02:39.617608+00:00,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,84,7,0.028345,51.238095,1,5205,2,wzOhP-YtO38,👉🏻 Te dejo el link para apuntarte al Curso GRATIS de IA fijado en los comentarios de este vídeo.,1373,40.17094,40.17094
2026-05-22T12:02:39.617608+00:00,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,24,9,0.03496,42.666667,1,3800,1,Cpr-UTaCPIY,¡Hoy es el día! 🚨,1142,35.897436,35.897436
2026-05-22T12:02:39.617608+00:00,UCP7jMXSY2xbc3KCAE0MHQ-A,Google DeepMind,1,1114,0.039557,55,1,1114,0,AEH6dBOnE_U,This is Gemini Omni ♾️ #GoogleIO,1114,26.495726,26.495726
2026-05-22T12:02:39.617608+00:00,UChl76B7zqfMcNzfMi9vJruw,Mizkif,1,1092,0.015012,36,1,1092,0,bmfQsc0ZOCQ,Do this to become a billionaire #mizkif #investing,1092,26.068376,26.068376
2026-05-22T12:02:39.617608+00:00,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,1,984,0.04935,55,1,984,0,CpK4PxPOITQ,These bioluminescent creatures are giving ✨glow✨,984,25.213675,25.213675
2026-05-22T12:02:39.617608+00:00,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,5,83,0.084997,56.2,1,1574,0,nxmAuqCYUBw,¿iPhone con Android o Samsung con iOS? El dilema que rompería el mercado,971,28.632479,28.632479
2026-05-22T12:02:39.617608+00:00,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,557.5,0.037667,53,1,1115,0,Re9uBHP_Aqo,Did this ancient mole go on an adventure?,946,26.923077,26.923077
2026-05-22T12:02:39.617608+00:00,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,1,928,0.040081,39,1,928,0,EJBfmLrc-iw,¿Esto es lo que ven los niños ahora?,928,24.358974,24.358974
2026-05-22T12:02:39.617608+00:00,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,10,59,0.017373,47.1,1,2157,1,UIuB4N9Sby8,¡Evita este ERROR de INVERSIÓN en CARTERAS CONSERVADORAS ❌📈 | Finect,889,31.196581,31.196581
2026-05-22T12:02:39.617608+00:00,UC6RTPEfYFMcb0-HLLMEpLdw,Caja de Peliculas,1,839,0.065323,44,1,839,0,SdCa5nTCtxw,Le PAGARON por CADA PIQUETE de ABEJA 🐝💸 #Shorts #Viral #Peliculas #Terror #Datos,839,23.504274,23.504274
2026-05-22T12:02:39.617608+00:00,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,9,50,0.011331,46.777778,1,1769,0,1SKV4B_WPkg,Why did the dev go broke?,775,29.487179,29.487179
2026-05-22T12:02:39.617608+00:00,UC5rJaxmE3UyVz59OGxbPdAg,Noticias Robotitus ,1,767,0.041327,60,1,767,0,BdOfmPe3j1s,Científicos Crean Engranajes Líquidos que Giran sin Contacto 🤯￼,767,23.076923,23.076923
2026-05-22T12:02:39.617608+00:00,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,1,762,0.027449,52,1,762,0,xitFlW5HhLM,How do I know if I have childhood trauma? | Nicole Lepera,762,22.649573,22.649573
2026-05-22T12:02:39.617608+00:00,UC3gWLlG7mTnOS5KW9aM9fZQ,Roier,1,718,0.135193,52,1,718,0,z6w1FF4-Vho,Por qué los pingüinos NO deberían volar?...,718,22.008547,22.008547
2026-05-22T12:02:39.617608+00:00,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,4,159,0.058007,36.75,1,1074,0,jFZPpkVszCg,ESTE ES EL MAPA 3D MÁS GRANDE DEL UNIVERSO 🌌,714,25.641026,25.641026
2026-05-22T12:02:39.617608+00:00,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,5,158,0.033243,33,1,981,2,_BY9YTTh6kE,Kunal vs Motorcycle | With ChatGPT,708,24.786325,24.786325
2026-05-22T12:02:39.617608+00:00,UC30ajuhy8cViP2DiM1QLjmg,98grados,6,1.5,0.066207,46.333333,1,718,0,jMYbCJxA-x0,He automatizado mi trabajo. Es un camino de ida #ia #claude #make #ai,701,22.008547,22.008547
2026-05-22T12:02:39.617608+00:00,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,62,5,0.029418,35.145161,0.967742,2733,12,nTmzrL56GyQ,IBAI hace los mejores regalos 👀,684,32.478632,32.478632
2026-05-22T12:02:39.617608+00:00,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,32,23,0.012533,35.6875,1,3629,5,9FK2KoUtFek,Nvidia is still not including China in its revenue outlook.,681,35.470085,35.470085
2026-05-22T12:02:39.617608+00:00,UCDK9qD5DAQML-pzrtA7A4oA,OfflineTV,2,452,0.029145,45.5,1,904,0,KEp5oyeS6wA,The ultimate reaction speed test 😎🎈,619,23.931624,23.931624
2026-05-22T12:02:39.617608+00:00,UC9WGON3pXofvE958Uq3Lw3Q,Éxito Financiero — Finanzas Personales Y Educación,2,544,0.046218,51.5,1,544,1,8uo964Je0T4,¿Qué Tanto Sabes De Inversiones? Pruébalo Aquí (Y Gana $100 USD),544,20.512821,20.512821
2026-05-22T12:02:39.617608+00:00,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,7,148,0.030049,29.857143,1,1167,1,5GXM6fB1ZV0,Top 1% of AI Users Use This Prompting Framework,533,27.777778,27.777778
2026-05-22T12:02:39.617608+00:00,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,2,525,0.066458,107,0,525,1,s2XJAOs0n4U,What color are these dots?! 🤔,525,20.08547,20.08547
2026-05-22T12:02:39.617608+00:00,UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,1,524,0.034158,36,1,524,0,FshjwEAJk88,Need tour right now…🎥 @bootswallace,524,19.65812,19.65812
2026-05-22T12:02:39.617608+00:00,UC9mrBfjgyOsqJ0J-zw7kZLQ,Atherion,12,29,0.0899,21,1,1218,0,TUUUOn3X7yQ,¿cuántas veces al día ves a esos pequeños “flotantes”?,509,28.205128,28.205128
2026-05-22T12:02:39.617608+00:00,UCcAd5Np7fO8SeejB1FVKcYw,Best Ever Food Review Show,1,506,0.018101,9,1,506,0,SOwAtRoJyAc,BEFRS Won A Webby Award!! 🏆,506,18.162393,18.162393
2026-05-22T12:02:39.617608+00:00,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,1,506,0.055569,28,1,506,0,c9m0zR0_h4k,I’m heading to Nashville on June 30th and I want to bring one of you with me 🍻 meetpostmalone.com,506,18.162393,18.162393
2026-05-22T12:02:39.617608+00:00,UCHMSzZaVrEjK35aYK3J7Htw,Pequeño Cerdo Capitalista,7,3,0.039577,29,1,514,0,9k1kCrLQDG0,Evita estos desastres financieros antes de que sea tarde 📉 #finanzaspersonales #shorts,496,19.230769,19.230769
2026-05-22T12:02:39.617608+00:00,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,1,478,0.150389,21,1,478,0,294X5o83_Ic,TAEYONG 태용 'WYLD' MV Teaser,478,17.521368,17.521368
2026-05-22T12:02:39.617608+00:00,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,7,68,0.025229,40.714286,1,1116,0,K5yJobNciYQ,"To the outside world, it's really boring... But it makes $60K a month 😳",464,27.350427,27.350427
2026-05-22T12:02:39.617608+00:00,UCv85NiROLKddHa0fBATwTzw,Victor Robles WEB,4,69.5,0.010576,8,1,583,0,H2lWa_kj-z4,Dentro de un repositorio de Github #desarrolloweb #programar #github #copilot,438,20.940171,20.940171
