grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-18,2026-05-24,UCA2tt9GSU2sl8rAqjlLR3mQ,GeorgeNotFound,1,1,10935,448,0,0.042582,XZhtfrppsqo,Minecraft Arrow Toss...,10935
weekly,2026-05-18,2026-05-24,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,22,22,10563,40,7,0.014573,az2XB-m07Yc,"China ""is one of the most incredible economies in the world,"" Nvidia CEO Jensen Huang says.",7318
weekly,2026-05-18,2026-05-24,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,2,0,10339,302,11,0.0356,4s9LuOSR3Q4,What would happen if the Sun dissapeared?,6096
weekly,2026-05-18,2026-05-24,UCcHtke0raf8vNYLM1Hbq3Jw,Imagen Noticias,72,70,9951,162,13,0.01389,p5Cw4Hv5xac,Despiden a Oyuki Ramírez tras salvar a su hijo | #Shorts | De Pisa y Corre,2388
weekly,2026-05-18,2026-05-24,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,35,17,9830,485,2,0.034798,7Ph0Et_NbZg,No sabia esto de LA VELADA! 😟,1546
weekly,2026-05-18,2026-05-24,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,2,2,9656,113,0,0.017846,1HFNCAAqC0w,How to make the pork picnic from Regular Show!,5676
weekly,2026-05-18,2026-05-24,UCDVYQ4Zhbm3S2dlz7P1GBDg,NFL,4,4,8542,117,3,0.018372,vSt2FcJfa9Q,This guy knows how to DO STUFF 😤,3841
weekly,2026-05-18,2026-05-24,UCmObdAaNbtVVR1OkKUsdgqg,Las Recetas de MJ,2,2,8400,342,3,0.048226,9MMkpgDKm6M,5 salsas FÁCILES para tus ensaladas #shorts,4974
weekly,2026-05-18,2026-05-24,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,12,12,8072,243,3,0.036232,SCYJxkZMREI,"Mid level AI engineers are making up to $220,000 a year and demand is only growing 🔥",2682
weekly,2026-05-18,2026-05-24,UCfyehHM_eo4g5JUyWmms2LA,Sorted Food,2,2,7968,86,1,0.020292,_WKQnz3yl_U,Air Powered Can Crusher - Crazy Loud & Dangerous Fun!,5433
weekly,2026-05-18,2026-05-24,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,73,4,7760,171,6,0.027888,ewgTvaHiMos,👉🏻 Te dejo el link para apuntarte al Curso GRATIS de IA fijado en los comentarios de este vídeo.,1553
weekly,2026-05-18,2026-05-24,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,1,0,7694,394,11,0.07155,ArA_8v8LTfY,"hay una CRISIS en China, ¡todo mundo tiene casa propia!",7694
weekly,2026-05-18,2026-05-24,UCK8sQmJBp8GCxrOtXWBpyEA,Google,2,2,6398,96,11,0.028559,2UuxYaZbAjo,Study anything you see with Lens 🔎,4283
weekly,2026-05-18,2026-05-24,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,8,7,5836,85,1,0.011397,g4Jne1qDDhU,Don't try to learn a new skill in a vacuum - build with a goal in mind,3370
weekly,2026-05-18,2026-05-24,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,1,0,5679,83,0,0.020153,iRach9lpIlg,Wombats Poop Cubes,5679
weekly,2026-05-18,2026-05-24,UC6ZFN9Tx6xh-skXCuRHCDpQ,PBS NewsHour,16,16,5110,26,0,0.017037,zq1avWF6zS4,Why hantavirus is 'not a repeat' of COVID pandemic #shorts,2055
weekly,2026-05-18,2026-05-24,UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,1,1,5095,76,4,0.031325,BXU1TPC6MHs,The Digital Control Grid Problem,5095
weekly,2026-05-18,2026-05-24,UCyM-2pRapEv6V2q7UNO9icg,Emprende Aprendiendo,19,0,4879,205,1,0.027168,pwcrn5bdr9c,Se hizo millonaria reinventando la ropa de gimnasio,3809
weekly,2026-05-18,2026-05-24,UCiMhD4jzUqG-IgPzUmmytRQ,Queen Official,3,3,4726,193,1,0.059719,f12jmDZfghA,In January 1985 Queen headlined Rock in Rio. On this day in 1985 Live in Rio' was released in the UK,2121
weekly,2026-05-18,2026-05-24,UCUe6ZpY6TJ0no8jI4l2iLxw,Nick Jr.,1,1,4495,21,0,0.009106,qIwRZO0xi7U,"Make Your Own Nick Jr. Characters in 3 EASY Steps! Cut, Color, and Fold!",4495
weekly,2026-05-18,2026-05-24,UC2UXDak6o7rBm23k3Vv5dww,Tina Huang,6,1,4285,110,5,0.030891,5GXM6fB1ZV0,Top 1% of AI Users Use This Prompting Framework,2661
weekly,2026-05-18,2026-05-24,UC5rJaxmE3UyVz59OGxbPdAg,Noticias Robotitus ,1,1,4185,239,3,0.040902,BdOfmPe3j1s,Científicos Crean Engranajes Líquidos que Giran sin Contacto 🤯￼,4185
weekly,2026-05-18,2026-05-24,UCEQXxiYxNZbym9Fad7-n2Lg,Doctor Fisión,4,0,4129,146,8,0.064521,jFZPpkVszCg,ESTE ES EL MAPA 3D MÁS GRANDE DEL UNIVERSO 🌌,2528
weekly,2026-05-18,2026-05-24,UCvksjnr7kInzcIjMpJpqF2A,Little Angel: Nursery Rhymes & Kids Songs,2,2,4125,31,0,0.006601,W9Jv28mYywk,Ice Cream Toppings 🍦 #littleangel,3336
weekly,2026-05-18,2026-05-24,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,4,4,4029,64,0,0.033848,87xAJoZobKo,¿Cuál ha sido mi MEJOR JUGADA en el mercado?,2588
weekly,2026-05-18,2026-05-24,UChXKjLEzAB1K7EZQey7Fm1Q,Pokimane,1,1,3996,158,3,0.060517,embu3gLFECI,im flying my friends out for my birthday…,3996
weekly,2026-05-18,2026-05-24,UCddn8dUxYdgJz3Qr5mjADtA,NutritionFacts.org,3,2,3842,223,6,0.08637,mTlr_HY2BRo,Can one orange a day lower hip fracture risk? #osteoporosis,3377
weekly,2026-05-18,2026-05-24,UCTJXx9onKH6g4cWHS9pLqsQ,El HuffPost,14,13,3727,56,5,0.027974,BpfCzvJAL8o,"Unos niños enseñan al papa León XIV a bailar el paso viral ""six-seven (6-7)""",2583
weekly,2026-05-18,2026-05-24,UCuFFtHWoLl5fauMMD5Ww2jA,CBC News,4,4,3690,8,0,0.014015,F2sbrvyn0OM,‘How is that even possible?’: Crash leaves motorbike dangling,2532
weekly,2026-05-18,2026-05-24,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,6,6,3573,30,0,0.009268,FDMd7r3ikB8,Brush Your Teeth! 🪥Good Hygiene Habits Nursery Rhymes & Kids Songs @canticosworld,1285
weekly,2026-05-18,2026-05-24,UCX16cLWl6dCjlZMgUBxgGkA,CuriosaMente,1,1,3518,264,3,0.100067,GhfJPapoAXQ,¿Justicia medieval?,3518
weekly,2026-05-18,2026-05-24,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,17,2,3425,104,-2,0.040649,38xA_7ePYr8,5 empresas que te pagan por tener sus acciones,935
weekly,2026-05-18,2026-05-24,UCShHFwKyhcDo3g7hr4f1R8A,World Science Festival,3,3,3297,36,0,0.014833,bY8RFbMbI4c,"Gary Marcus explains the “Eliza Effect."" #worldsciencefestival #briangreene #garymarcus",2796
weekly,2026-05-18,2026-05-24,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,5,5,3077,84,5,0.072335,nxmAuqCYUBw,¿iPhone con Android o Samsung con iOS? El dilema que rompería el mercado,1705
weekly,2026-05-18,2026-05-24,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,8,0,3068,147,1,0.045695,eBXAckGnX0A,Captura y comparte cualquier bug 👀 #desarrolloweb #programacion,1451
weekly,2026-05-18,2026-05-24,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,4,4,2758,4,1,0.012065,FLPhlNC5tqI,Army parachutes onto Tristan da Cunha to attend suspected hantavirus case,2261
weekly,2026-05-18,2026-05-24,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,3,3,2742,76,1,0.030514,nEz-UVg3D3c,¿Es amor o dependencia emocional?,1303
weekly,2026-05-18,2026-05-24,UCP15FVAA2UL-QOcGhy7-ezA,EDteam,6,1,2629,172,11,0.056499,cM9zl9_dG94,La IA está trayendo una epidemia de soledad,2427
weekly,2026-05-18,2026-05-24,UC52kszkc08-acFOuogFl5jw,Tibees,2,0,2611,110,3,0.048757,dGjYPrNNjyM,ℵ₀ explained David Attenborough style,1896
weekly,2026-05-18,2026-05-24,UCS0lmlVIYVz2qeWlZ_ynIWg,AJ+ Español,5,5,2590,129,41,0.108129,Va4VzBispnA,Soldados israelíes m*tan a chico que protegía ovejas,2292
weekly,2026-05-18,2026-05-24,UCEf_Bc-KVd7onSeifS3py9g,SMTOWN,1,1,2378,151,3,0.160179,294X5o83_Ic,TAEYONG 태용 'WYLD' MV Teaser,2378
weekly,2026-05-18,2026-05-24,UCzR-rom72PHN9Zg7RML9EbA,PBS Eons,2,0,2220,55,2,0.037954,Re9uBHP_Aqo,Did this ancient mole go on an adventure?,1928
weekly,2026-05-18,2026-05-24,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,9,0,1782,28,0,0.029168,iY0N2tAyDGU,Te mereces un martillazo #chisme #comedia #podcast,1562
weekly,2026-05-18,2026-05-24,UC6n8I1UDTKP1IWjQMg6_TwA,The B1M,1,1,1526,22,0,0.023599,CtAPK8WsUb8,Dubai Has a SEWAGE Problem,1526
weekly,2026-05-18,2026-05-24,UCeLHszkByNZtPKcaVXOCOQQ,Post Malone,1,1,1512,76,48,0.054406,c9m0zR0_h4k,I’m heading to Nashville on June 30th and I want to bring one of you with me 🍻 meetpostmalone.com,1512
weekly,2026-05-18,2026-05-24,UCH4BNI0-FOK2dMXoFtViWHw,Be Smart,1,1,1331,54,3,0.068385,s2XJAOs0n4U,What color are these dots?! 🤔,1331
weekly,2026-05-18,2026-05-24,UCLXo7UDZvByw2ixzpQCufnA,Vox,2,2,1320,12,0,0.029523,Eqe7f9tPtas,Hantavirus and misinformation,1022
weekly,2026-05-18,2026-05-24,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,19,1,1260,91,0,0.04217,ImmxcdpyBUE,Checklist Para Invertir En 2026 📊 #Compuestos #AndresGarza #Cometa #Invertir,795
weekly,2026-05-18,2026-05-24,UCBVjMGOIkavEAhyqpxJ73Dw,Maroon 5,1,1,1253,55,4,0.033766,FshjwEAJk88,Need tour right now…🎥 @bootswallace,1253
weekly,2026-05-18,2026-05-24,UCxFACDJ98idvo9Gq9M9AQgg,Moris Dieck | Finanzas e Inversiones ,4,0,1199,57,0,0.038761,MyIJYM4kByU,¿Cómo la IA multiplica tu capacidad?,1138
weekly,2026-05-18,2026-05-24,UCv85NiROLKddHa0fBATwTzw,Victor Robles WEB,3,3,1154,15,0,0.014278,yb3cxCJ4h4g,Cuando filtras el API KEY y haces que la empresa pierda 100.000 dólares #programadores #codigo #ia,922
weekly,2026-05-18,2026-05-24,UCvPGx8qh8AkrFZW06tESvaA,Dot Dager,5,0,1124,45,1,0.052438,vtjFXdFGkBc,DE CHULO AL PROGRAMADOR #dev #programacion,766
weekly,2026-05-18,2026-05-24,UC9mrBfjgyOsqJ0J-zw7kZLQ,Atherion,11,1,1036,58,1,0.089674,vdVZamczBJ0,¿qué abre la llave?,467
weekly,2026-05-18,2026-05-24,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,1,1014,15,0,0.02694,r9R3Z05qJyY,ASÍ es UNA GUERRA por DENTRO,598
weekly,2026-05-18,2026-05-24,UCcAd5Np7fO8SeejB1FVKcYw,Best Ever Food Review Show,1,1,720,5,0,0.018398,SOwAtRoJyAc,BEFRS Won A Webby Award!! 🏆,720
weekly,2026-05-18,2026-05-24,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,2,2,674,13,2,0.028905,bMmEEa8-6fU,Suraj vs The Future | With ChatGPT,456
weekly,2026-05-18,2026-05-24,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,1,0,648,18,1,0.040178,EJBfmLrc-iw,¿Esto es lo que ven los niños ahora?,648
weekly,2026-05-18,2026-05-24,UCt-k6JwNWHMXDBGm9IYHdsg,J Balvin,1,1,597,17,0,0.025903,OI5z9S48LlI,OSCAR MAYDON en la casa #cdmx,597
weekly,2026-05-18,2026-05-24,UCt7k7y_xTkkc1Jeh7cdAjDQ,SinEmbargo Al Aire,1,1,570,22,4,0.072121,mm4ASkDweTg,Detienen en EU a exsecretario de Seguridad de Sinaloa,570
weekly,2026-05-18,2026-05-24,UCeiYXex_fwgYDonaTcSIk6w,MinuteEarth,1,1,517,8,1,0.058157,CpK4PxPOITQ,These bioluminescent creatures are giving ✨glow✨,517
weekly,2026-05-18,2026-05-24,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,3,3,487,7,0,0.017966,1JSiSUrp1ig,Accidental earbud swap or a sign to join #GoogleIO virtually? 💻,318
weekly,2026-05-18,2026-05-24,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,7,0,447,13,0,0.040835,Ocx5uE7vjIw,¿se puede programar con agentes con 32GB de RAM?,223
weekly,2026-05-18,2026-05-24,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,1,0,424,12,1,0.034023,MKL0tk-3UM8,Send this to a dad you know,424
weekly,2026-05-18,2026-05-24,UCtu2BCnJoFGRBOuIh570QWw,Sodapoppin,1,1,412,1,1,0.014259,3COUSQteLGE,Katchii Gives Poor People Advice,412
weekly,2026-05-18,2026-05-24,UCMsgXPD3wzzt8RxHJmXH7hQ,Cartoon Network,1,1,402,12,0,0.031881,NC_Eo4HEpC0,You know who else can build a hovercraft? 🐦🦝✈️,402
weekly,2026-05-18,2026-05-24,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,6,6,400,5,0,0.016827,GjaQ_RSGDIc,NO cometas este ERROR al INVERTIR ❌📉 | Finect,174
weekly,2026-05-18,2026-05-24,UCLv7Gzc3VTO6ggFlXY0sOyw,Harvard University,1,1,358,3,0,0.009687,00NnpBvip98,Goat Yoga at HMS,358
weekly,2026-05-18,2026-05-24,UC04FyDIvYXNecpbG8gyOw4A,Meta,2,2,341,8,0,0.021885,pUbyqNTt2AY,Flower or Weed,219
weekly,2026-05-18,2026-05-24,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,2,0,317,14,1,0.05151,-6t20SnbOyc,"Un buen clasista no es aquel que juzga, es que el describe la realidad.",260
weekly,2026-05-18,2026-05-24,UCUXLlsi8mQeP0TvGbmSn8iw,Sopitas,2,1,290,5,1,0.025896,Pikx9rXCWpE,Pepe del Bosque recordó cómo la Copa América del 93 y Campos marcaron su primer gran recuerdo,278
weekly,2026-05-18,2026-05-24,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,1,0,267,13,0,0.070497,6CyjL4X8e7g,Estas PALABRAS destruyen la MENTALIDAD FINANCIERA de tus HIJOS,267
