grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
monthly,2026-05-01,2026-05-31,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,2,1,105649,8166,320,0.097676,_WaudpvolTs,¿Será este virus peor que el COVID?,64101
monthly,2026-05-01,2026-05-31,UClHVl2N3jPEbkNJVx-ItQIQ,HealthyGamerGG,9,9,105488,3987,185,0.045233,gOUwoU7WddM,How To ACTUALLY Stay Mentally Healthy,66373
monthly,2026-05-01,2026-05-31,UCoXtmmnLCbXDiSo8GxsmOzA,La gata de Schrödinger,4,1,105381,6078,473,0.071033,RWGr8LwG3TY,El Oscuro y Violento Mundo de la IA para NIÑOS,81249
monthly,2026-05-01,2026-05-31,UCdNnEDbRWhanA1O8zhCn3ZA,Omar - Educación Financiera,6,3,104868,3572,280,0.052499,ENkAEIMcDis,El FIN de las tasas altas en México: ¿Qué voy a hacer?,49503
monthly,2026-05-01,2026-05-31,UCi7TVXyvrIwqeS9tfYD8UDA,DjMaRiiO,8,7,102556,2564,57,0.025927,cWi8VwMfEz4,ULTIMATE MÓSTOLES - TRONCOS 🦁 RESUMEN DEL PARTIDO #djmariio #kingsleague,66765
monthly,2026-05-01,2026-05-31,UCok_yhjwg4WSx3s_2Yh8ZjQ,Topes de Gama,26,25,102475,4042,125,0.063108,_QQOSHWmnIA,Sony Xperia 1 VIII: ¿El cambio que necesitábamos o el mismo error de SIEMPRE?,29986
monthly,2026-05-01,2026-05-31,UCtscFf8VayggrDYjOwDke_Q,Angela Collier ,1,1,102342,6005,980,0.093793,p6Ejmhwb8Sc,genesis mission (us government),102342
monthly,2026-05-01,2026-05-31,UCIRYBXDze5krPDzAEOxFGVA,Guardian News,39,37,101305,722,391,0.014505,TtXIbanXEhY,Keir Starmer holds a news conference amid leadership threats – watch live,15110
monthly,2026-05-01,2026-05-31,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,3,3,100021,2412,210,0.027235,d-debb_abfY,It Started: The US Debt Bomb Just Imploded,93513
monthly,2026-05-01,2026-05-31,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,2,1,99374,4602,249,0.057934,POn6IRgP5-A,La INFIDELIDAD está Fuera de Control...,63748
monthly,2026-05-01,2026-05-31,UCsBjURrPoezykLs9EqgamOA,Fireship,2,2,97020,2197,-25,0.034535,3tbB2dffx0s,I can’t believe this trial is real...,77316
monthly,2026-05-01,2026-05-31,UCs0QXHkbkBDM_NwnRiGFoTA,Crea Y Transforma,7,3,96034,2939,189,0.05267,Rvy2kXZpBtM,50 Datos Sorprendentes de la Ciudad de Miami,44604
monthly,2026-05-01,2026-05-31,UCL8w_A8p8P1HWI3k6PR5Z6w,Two Cents,2,2,94519,3840,988,0.065033,KUu4fahAg7M,Is Gen Z Destroying the Restaurant Industry? #restaurant #genzmoney #genz #economy #foodshorts,58824
monthly,2026-05-01,2026-05-31,UCCuNpAi5cNF4x-hcW2qawhw,Cristinini,1,1,92673,2295,8,0.037022,ffqFlTgFZLM,RESOLVIENDO un MURDOKU 🕵️🔎 #murdoku #pasatiempo #murdle #logica #juegosdemesa,92673
monthly,2026-05-01,2026-05-31,UCW39zufHfsuGgpLviKh297Q,DW Documentary,10,10,92651,1207,91,0.026146,Fsyg_HDRw9o,The cloud that gives life to Cape Town - The magic of Table Mountain’s tablecloth | DW Documentary,32962
monthly,2026-05-01,2026-05-31,UC7DdEm33SyaTDtWYGO2CwdA,Physics Girl,1,0,91572,5612,141,0.070959,Ycdklm6W1_o,What happened to my face,91572
monthly,2026-05-01,2026-05-31,UC4jlzJyMNQkkcEcCN3EFG7g,Brin,2,1,90508,4098,478,0.054577,rJx6qKcbxrs,Este STREAMER MATÓ a su HERMANITO ENFERMO por LA PEOR RAZÓN,67476
monthly,2026-05-01,2026-05-31,UCZYTClx2T1of7BRZ86-8fow,SciShow,6,6,88853,3396,213,0.060242,g8Chxr0xbFA,How Volcanoes Caused The Black Death,30855
monthly,2026-05-01,2026-05-31,UCH3h4jRKn3lJo0uORqqESPg,Acenix,1,1,88527,1269,42,0.027599,RkYbneoi6pU,Minecraft PERO hay PORTALES de CUALQUIER BLOQUE,88527
monthly,2026-05-01,2026-05-31,UC66soxYX4IBUF4V94EdyYBQ,ZEPfilms,3,3,88160,1943,31,0.046133,EYQhrAGdsTo,Pensaron que Rocky sería un FRACASO... y ganó MILLONES,73690
monthly,2026-05-01,2026-05-31,UCTJXx9onKH6g4cWHS9pLqsQ,El HuffPost,41,38,87815,3997,413,0.048857,yyuu5IZpL7E,"Javier Bardem: ""Tengo 57 años y vengo de un país muy machista llamado España""",38668
monthly,2026-05-01,2026-05-31,UCtwslQPB_xJfaFuZv0OETNw,Kings League Spain,24,21,87714,1586,12,0.02724,e23-s9jMw74,👑Queens League Spain ⚽KICKOFF NIGHT,43136
monthly,2026-05-01,2026-05-31,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,7,6,87253,1479,175,0.026957,-IonBz5c3go,Average Salary By Age (How Do You Stack Up?),42656
monthly,2026-05-01,2026-05-31,UCvQECJukTDE2i6aCoMnS-Vg,Big Think,7,7,83087,1828,130,0.037624,68DgpdnjBEg,What Newton and Einstein agreed on that our society doesn’t | Sean Carroll,46587
monthly,2026-05-01,2026-05-31,UCTJTpwrK4a-ajXs4-Wry09A,alanxelmundo,1,1,82176,2632,61,0.066175,QPjskMnFluQ,Cocodrilos momificados!!! EdfU y Kom Ombo | Alan por el mundo #Egipto #3 4K,82176
monthly,2026-05-01,2026-05-31,UCK1i2UviaXLUNrZlAFpw_jA,El Reino Infantil,3,3,80446,102,0,0.003492,f3z4UBigGAI,Familia Granja ¿Dónde estás? | LA GRANJA DE ZENÓN 🧑‍🌾 Canción Infantil | El Reino Infantil,70168
monthly,2026-05-01,2026-05-31,UCvJJ_dzjViJCoLf5uKUTwoA,CNBC,12,12,79404,724,83,0.018699,MaXbK4B8wHM,Where Spirit Airlines' Jets Are Headed After Bankruptcy,48745
monthly,2026-05-01,2026-05-31,UC30ajuhy8cViP2DiM1QLjmg,98grados,10,8,78195,8681,309,0.116428,vQnUaLtBmBE,Te ahorro años de malas decisiones de compra en PC. De cuando era principiante #pc #pcgamer,13681
monthly,2026-05-01,2026-05-31,UCdfnfXWCGkBAx2cN2l-4u2w,Semo Historia,4,3,75878,5013,308,0.076208,fKtG9uPeMCc,Esto podría salvar a Ciudad de México,37927
monthly,2026-05-01,2026-05-31,UCnB5W_ZJgiDFnklejRGADxw,Pocoyó 🇪🇸 Español - Canal Oficial,3,2,75855,170,0,0.002803,tse51CSdjvo,¡Pato ATRAPADO en otra dimensión! 😱 ¿Qué hay detrás de la puerta misteriosa? | Pocoyo 🇪🇸 Español,27392
