content_format,target,model_family,feature,feature_group,importance_type,importance_value,importance_rank,direction,notes
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,permutation_importance_std,0.0,56,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_currency,title_style,impurity_importance,0.0,56,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_mean,-0.00023826,13,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,permutation_importance_std,6.793e-05,13,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_number,title_style,impurity_importance,0.00020065,13,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_mean,3.301e-05,24,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,permutation_importance_std,1.824e-05,24,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_question,title_style,impurity_importance,5.11e-05,24,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_mean,6.04e-06,41,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,permutation_importance_std,7.17e-06,41,positive,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_has_year,title_style,impurity_importance,8.94e-06,41,positive,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_mean,0.00058653,9,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,permutation_importance_std,0.00014683,9,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_length_chars,title_style,impurity_importance,0.00182006,9,negative,secondary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_mean,-0.00073536,7,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,permutation_importance_std,0.00062653,7,negative,primary
shorts,future_log_views_delta_7d,random_forest_regressor,title_word_count,title_style,impurity_importance,0.00100745,7,negative,secondary
