content_format,model_id,model_family,target,feature,direction,direction_score,direction_method,low_bin_prediction,high_bin_prediction,notes
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,has_question,positive,0.30488,quantile_bins,3.935493,4.240373,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,has_ai_word,mixed,-0.028052,quantile_bins,4.025851,3.997799,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,has_finance_word,mixed,0.054831,quantile_bins,4.005893,4.060724,estimated from prediction behavior
shorts,shorts-shallow_tree-future_log_views_delta_7d-20260720T123812Z,shallow_tree,future_log_views_delta_7d,metadata_changed,mixed,0.08929,quantile_bins,3.997796,4.087086,estimated from prediction behavior
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,views_delta,mixed,0.335943,quantile_bins,0.169907,0.505851,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,engagement_rate,positive,0.206473,quantile_bins,0.103432,0.309906,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,comment_rate,flat,-0.005392,quantile_bins,0.196107,0.190715,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,video_age_days,flat,-0.005392,quantile_bins,0.196107,0.190715,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,duration_bucket,flat,-0.005392,quantile_bins,0.196107,0.190715,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,alpha_score,positive,0.585089,quantile_bins,0.019164,0.604253,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,opportunity_score,positive,0.535236,quantile_bins,0.0199,0.555135,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,trend_burst_score,mixed,0.12399,quantile_bins,0.167377,0.291367,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,evergreen_score,mixed,-0.00347,quantile_bins,0.1946,0.19113,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,packaging_problem_score,mixed,-0.125735,quantile_bins,0.221169,0.095433,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,metric_confidence_score,mixed,-0.220436,quantile_bins,0.361824,0.141388,direction estimated via directional analysis
videos,videos-random_forest-is_top_growth_7d-20260720T123829Z,random_forest,is_top_growth_7d,channel_momentum_score,negative,-0.096735,quantile_bins,0.255202,0.158467,direction estimated via directional analysis
