process_id,name,domain,process_type,cadence,dashboard_tab,impact_type,status,last_run_at,is_stale
github_ci,CI,github,github_workflow,push_or_pull_request,Operations,observability,unknown,,False
github_monitor,YouTube Monitor,github,github_workflow,daily,Overview,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Videos,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Channels,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Scores,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Advanced,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Titles,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Periods,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Alerts,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Data Quality,workflow,stale,2026-05-29T05:27:54.491409+00:00,True
github_monitor,YouTube Monitor,github,github_workflow,daily,Operations,observability,stale,2026-05-29T05:27:54.491409+00:00,True
github_heatmaps,YouTube Heatmaps,github,github_workflow,daily,Creative,workflow,success,2026-07-27T13:31:24.390321+00:00,False
github_heatmaps,YouTube Heatmaps,github,github_workflow,daily,Operations,observability,success,2026-07-27T13:31:24.390321+00:00,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Overview,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Videos,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Channels,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Scores,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Advanced,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Titles,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Periods,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Alerts,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Data Quality,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Models,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Topics,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,NLP,workflow,not_initialized,,False
github_pages,Deploy Dashboard to GitHub Pages,github,github_workflow,daily_or_on_data_change,Content Drivers,workflow,not_initialized,,False
