execution_date,channel_id,channel_name,videos_tracked,median_views_delta,median_engagement_rate,avg_duration_seconds,shorts_ratio,total_views_delta,new_videos,top_video_id,top_video_title,top_video_views_delta,channel_growth_percentile,channel_momentum_score
2026-05-18T12:49:30.314781+00:00,UC2iUwfYi_1FCGGqhOUNx-iA,ScreenRant,9,153,0.033865,409.888889,0,5490,0,4qE8og6P9u8,The Mummy 4 Is The Apology Brendan Fraser Fans Deserved,2570,37.730871,37.730871
2026-05-18T12:49:30.314781+00:00,UCRlBDnRQduDk4tmm1OtpSRg,UN POCO MEJOR,3,397,0.059166,1395.333333,0,2923,0,uTBQ0E07n88,El Mapa Entero del Dinero en 21 Minutos,2473,26.912929,26.912929
2026-05-18T12:49:30.314781+00:00,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology,7,493,0.045494,1161.428571,0,4780,1,SbrEk_tXZaE,Why AI Agents Break Zero Trust at the Last Mile,2453,35.092348,35.092348
2026-05-18T12:49:30.314781+00:00,UCCApWEDxZLSe2u0BB-znodA,Don Canitro 👺,1,2353,0.054185,1033,0,2353,0,vxjrgy16ljc,Otros 30 Datos Geográficos que parecen Ciertos (Pero son FALSOS),2353,24.274406,24.274406
2026-05-18T12:49:30.314781+00:00,UCB34YbuG6ThXJzJsDAII5Dw,math2me,4,607,0.011137,779,0,3531,0,nYLZXGq4aCs,Ecuación de PARÁBOLA en su forma Canónica Vs Forma Vértice | Análisis de gráficas en la Fx-CG100,2313,29.287599,29.287599
2026-05-18T12:49:30.314781+00:00,UCLXo7UDZvByw2ixzpQCufnA,Vox,11,825.5,0.033119,988.272727,0,9593,1,G87MP4zCkVs,"Americans oppose data centers. We went to find out why | America, Actually",2255,45.91029,45.91029
2026-05-18T12:49:30.314781+00:00,UCpuqYFKLkcEryEieomiAv3Q,Therapy in a Nutshell,2,1416.5,0.05307,64,0,2833,0,5gfc978c_2g,Playing Uno Reverse Card on Panic Attacks,2234,26.121372,26.121372
2026-05-18T12:49:30.314781+00:00,UCHhfu5p0zydyM-_nw3IJvig,Urban Tecno,9,499,0.068173,310.666667,0,5699,0,sIrtpVcFJ9c,El nuevo JBL PartyBox 330 ya está aquí!!! #jbl #partybox #urbantecno,2074,38.258575,38.258575
2026-05-18T12:49:30.314781+00:00,UCvnNkJsbONVhdXuHY_LpsdA,ElRichMC - Minecraft & Gaming a otro nivel,4,965.5,0.086493,4193.25,0,4528,0,e6fTgcw2nHM,Llevo tres años desarrollando un videojuego en Minecraft y te cuento mi experiencia,2050,33.245383,33.245383
2026-05-18T12:49:30.314781+00:00,UC8h85qEsJ25Os5THPu6QpHg,Spursito,4,904.5,0.064503,2176.75,0,4072,0,Y-TdXvlZYRI,UNA RELACIÓN RARA... EL FÚTBOL Y ESTADOS UNIDOS 😱,2044,31.134565,31.134565
2026-05-18T12:49:30.314781+00:00,UCWn_0MmgojB711LFX-jaCDQ,El Rincón Del Dev,8,14.5,0.051774,120.5,0,3366,0,tEFXfFkOkGA,Acelera tu web con @wprocket  👀 #desarrolloweb #programacion,1983,28.496042,28.496042
2026-05-18T12:49:30.314781+00:00,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,2,1075.5,0.025379,515,0,2151,0,JQ0_f_zyUM4,It Started: Trump Just 'Reset' Your 401K,1954,22.955145,22.955145
2026-05-18T12:49:30.314781+00:00,UCFJJziTVsiIVSyRKvXHX37g,Canticos - Bilingual Nursery Rhymes & Kids Songs,7,181,0.002346,1087.571429,0,3980,0,P-vJ3Qwbs64,¡Feliz Día del Maestro! Aprende El abecedario y las vocales | Preschool Learning @canticosworld,1809,30.870712,30.870712
2026-05-18T12:49:30.314781+00:00,UCMOqf8ab-42UUQIdVoKwjlQ,Practical Engineering,2,1730.5,0.033038,1113,0,3461,0,fKuIJ_z2Y6A,The Physics Behind the Thumb Trick,1803,28.759894,28.759894
2026-05-18T12:49:30.314781+00:00,UC71VTsUKOsh6QEGnzaa2KuQ,Rankia,7,32,0.070595,448.714286,0,2036,0,ofmi10BxOhk,El indicador de Warren Buffett acaba de marcar un 231%: ¿Por qué la bolsa sigue subiendo?,1794,22.163588,22.163588
2026-05-18T12:49:30.314781+00:00,UCbulh9WdLtEXiooRcYK7SWw,Metallica,3,1059,0.054838,2027,0,3768,0,vFRhryb0PoQ,"Metallica: Live at The Troubadour, West Hollywood, CA - May 24, 1988 (Full Concert)",1784,30.343008,30.343008
2026-05-18T12:49:30.314781+00:00,UCDV1MWcRLthxSrmb2Zv-jeg,Ricardo Alca2,4,1323.5,0.077238,1841,0,4747,0,eRD2C7w9r6Y,"""Hablemos de Cuerpos Ajenos""",1677,34.828496,34.828496
2026-05-18T12:49:30.314781+00:00,UC3IEYr87JpgBeVbbc0gP9DA,Irene Albacete,3,141,0.094127,676,0,1854,0,NqRC2EGe2sQ,CÓMO DEJAR DE PROCRASTINAR PROYECTOS.,1668,21.635884,21.635884
2026-05-18T12:49:30.314781+00:00,UCWxlUwW9BgGISaakjGM37aw,Valkyrae,4,842,0.029245,18116.5,0,3526,0,37d4JpFJAr0,🔴LIVE! BEATING GOD OF WAR 2 TODAY!!! (also live on twitch),1628,29.023747,29.023747
2026-05-18T12:49:30.314781+00:00,UCPH3Oz99Y_jrVBCQMjQZNSg,Memorias de Pez,5,255,0.046341,1397.6,0,2819,0,YYB-r06Pnig,✅ CHINA VS EE.UU. ¿Quién dominará el mundo en el próximo siglo?,1623,25.85752,25.85752
2026-05-18T12:49:30.314781+00:00,UC3gWLlG7mTnOS5KW9aM9fZQ,Roier,1,1616,0.038152,6530,0,1616,0,ZHWRIJkwEt4,"LA BODA MALDITA !! (QSMP 2, Episodio 8)",1616,20.580475,20.580475
2026-05-18T12:49:30.314781+00:00,UCPTlwyaEoJOVyvDLzHagzNQ,WATOP,10,33.5,0.049237,1439.5,0,2713,0,g6Cq3m3gq1g,El Cártel Se Metió Con El Padre Equivocado,1610,25.329815,25.329815
2026-05-18T12:49:30.314781+00:00,UCEK0oX3X2yK9y27khCsrNKg,Mis Propias Finanzas,63,13,0.059538,763.730159,0,9975,0,aevzxcKkLfc,Banco de la República Acertó al Subir la Tasa de Interés,1607,46.965699,46.965699
2026-05-18T12:49:30.314781+00:00,UCUHW94eEFW7hkUMVaZz4eDg,minutephysics,1,1603,0.064099,288,0,1603,0,PTO0s8YQ49o,The Magic of Thorium Nuclear Reactors,1603,20.316623,20.316623
2026-05-18T12:49:30.314781+00:00,UCgNg3vwj3xt7QOrcIDaHdFg,PolyMatter,1,1602,0.032387,1189,0,1602,0,t9PF8V132Y4,Walmart’s New Plan to Defeat Amazon,1602,20.05277,20.05277
2026-05-18T12:49:30.314781+00:00,UCK8sQmJBp8GCxrOtXWBpyEA,Google,2,1099.5,0.028859,863.5,0,2199,0,MVn33xN9dF4,The Android Show: From OS to Intelligence System | Made by Google Podcast S9E5,1593,23.48285,23.48285
2026-05-18T12:49:30.314781+00:00,UCH5_L3ytGbBziX0CLuYdQ1Q,CNBC Make It,5,367,0.026025,164.6,0,3728,0,cUCcaTlo41U,The job market is especially tough for recent grads,1587,29.815303,29.815303
2026-05-18T12:49:30.314781+00:00,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,5,428,0.048683,858,0,2681,0,QBLH2Q3K_aE,Esta configuración de LINUX es BRUTAL!,1569,25.065963,25.065963
2026-05-18T12:49:30.314781+00:00,UCcgVECVN4OKV6DH1jLkqmcA,Jake Paul,1,1568,0.030525,20875,0,1568,0,t8aAUKiVcec,My First Ever IRL Livestream (Insane Guests Pull Up),1568,19.788918,19.788918
2026-05-18T12:49:30.314781+00:00,UCujyjxsq5FZNVnQro51zKSQ,fuslie,5,116,0.016755,20618.8,0,1921,0,LZ0q60FFO9s,yappin and then subnautica 2 with miyoung :O !SN2 #SN2Partner #sponsored,1504,21.899736,21.899736
2026-05-18T12:49:30.314781+00:00,UC4QZ_LsYcvcq7qOsOhpAX4A,ColdFusion,2,1021,0.045059,1109,0,2042,0,g4Gb6viwsnQ,AI Band Gets Caught Then Hires Real Humans,1492,22.691293,22.691293
2026-05-18T12:49:30.314781+00:00,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,7,1004,0.026928,1130,0,5176,0,D_FCYsshMI4,Computer use in Codex,1490,36.675462,36.675462
2026-05-18T12:49:30.314781+00:00,UCOvzFyIAr32yspwxx77BHcQ,Rob Paper Clips,11,127,0.052742,5558.818182,0,3361,0,T04hQqUcbKg,Este Podcast Llegó DEMASIADO Lejos...,1479,28.23219,28.23219
2026-05-18T12:49:30.314781+00:00,UCL8w_A8p8P1HWI3k6PR5Z6w,Two Cents,2,1086,0.05711,345,0,2172,0,KUu4fahAg7M,Is Gen Z Destroying the Restaurant Industry? #restaurant #genzmoney #genz #economy #foodshorts,1397,23.218997,23.218997
2026-05-18T12:49:30.314781+00:00,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,16,84.5,0.041543,1972.4375,0,4492,0,03t_G_bCxzQ,Así será el mundo cuando la IA lo controle todo,1377,32.98153,32.98153
2026-05-18T12:49:30.314781+00:00,UCJ24N4O0bP7LGLBDvye7oCA,Matt D'Avella,1,1373,0.052577,750,0,1373,0,-1Fhry-Mqks,I tried to optimize my life. It made it worse.,1373,18.997361,18.997361
2026-05-18T12:49:30.314781+00:00,UCq2otJm7A6jGGcGFEks0HVw,Se Regalan Dudas Podcast,4,1042,0.031966,2758.5,0,2913,1,w3CTCjqRI8U,Ghosting: cuando alguien se va sin explicación| Jueves de Lety & Ash | Episodio 659,1207,26.649077,26.649077
2026-05-18T12:49:30.314781+00:00,UCHhYXsLBEVVnbvsq57n1MTQ,The AI Advantage,3,407,0.030636,329.333333,0,1662,0,miUP2Jh0Jp0,The Claude Update You've Been Waiting For,1181,21.108179,21.108179
2026-05-18T12:49:30.314781+00:00,UCTl3QQTvqHFjurroKxexy2Q,Olympics,17,89,0.025776,573.294118,0,2612,1,iU2fwRYx98w,A masterclass in never giving up on a dream.🥹 #Olympics,1145,24.802111,24.802111
2026-05-18T12:49:30.314781+00:00,UCX9NJ471o7Wie1DQe94RVIg,Fazt,21,67,0.051806,876.047619,0,3064,0,VcsqRub9TQE,Aloja tu Programador IA Autónomo con OpenClaw,1138,27.704485,27.704485
2026-05-18T12:49:30.314781+00:00,UCZRsSEs1OX74qBh0x5T22tg,EL CACHONDO,5,621,0.079932,700.8,0,3340,0,z7zvWNd47X0,MIL MANERAS DE M0RIR EN ARGENTINA #6,1111,27.968338,27.968338
2026-05-18T12:49:30.314781+00:00,UCjSVqRtdOsxQDss_pJpp_Yg,COMPUESTOS Podcast,59,1,0.049327,368.338983,0,2442,0,lXVyuiseTsQ,Experto en Inversión: Cómo Invertir y Hacer Crecer Tu Dinero (Guía Real de Inversiones) | EP. #67,1070,24.538259,24.538259
2026-05-18T12:49:30.314781+00:00,UCaZ5txM63JGqgzRTVXy5e9g,César Dabián Finanzas,5,199,0.060932,2101.4,0,2236,0,lqChoFV-Rhg,"5 hábitos ""normales"" que te empobrecen cada día",1028,23.746702,23.746702
2026-05-18T12:49:30.314781+00:00,UCQIUhtP5WYIx_pMG8UvMYHg,Cristina Dayz ,6,18,0.076336,774,0,1227,0,9plSVZP3Zx8,Cómo ganar más dinero (aunque seas tonto),1024,18.205805,18.205805
2026-05-18T12:49:30.314781+00:00,UCtscFf8VayggrDYjOwDke_Q,Angela Collier ,1,1012,0.087229,2806,0,1012,0,p6Ejmhwb8Sc,genesis mission (us government),1012,17.414248,17.414248
2026-05-18T12:49:30.314781+00:00,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,9,20,0.067042,1269.777778,0,2348,0,HB20PBw3C-0,MILO J ⚠️ Análisis SIN FILTRO | ¿Quién caraj es Milo J? | El artista más subestimado (y cancelado),993,24.010554,24.010554
2026-05-18T12:49:30.314781+00:00,UCAW-NpUFkMyCNrvRSSGIvDQ,Ninja,2,729,0.046943,1222.5,0,1458,0,TMD1dhXDZ1U,What Makes Fortnite Special,965,19.261214,19.261214
