content_format,video_id,hybrid_decision_score,model_score_percentile,model_score,prediction_rank,decision_score,confidence_level
shorts,1iAqPg_3PrU,36.8311,22.362,2.368e-05,4445,58.5348,high
shorts,WsDpQpXHcrw,36.8239,61.3732,0.01908713,2212,0.0,
shorts,hOZTjvXkh1g,36.8151,17.0161,6.86e-06,4751,66.5137,high
shorts,PFK2YSOsjyQ,36.8134,61.3557,0.01906815,2213,0.0,
shorts,-4M_2kMDZ5U,36.8029,61.3382,0.01896973,2214,0.0,
shorts,P0b0dUu2G4I,36.7925,61.3208,0.01881913,2215,0.0,
shorts,s2XJAOs0n4U,36.782,61.3033,0.01881136,2216,0.0,
shorts,gnyRma_LGqc,36.7775,21.8029,2.089e-05,4477,59.2395,high
shorts,CsVmFVJ3nes,36.7715,61.2858,0.01878934,2217,0.0,
shorts,3lw52WJgl1g,36.761,61.2683,0.01869044,2218,0.0,
shorts,4IMX5AQSngc,36.7505,61.2509,0.0186371,2219,0.0,
shorts,YIozys8ZjPs,36.7482,18.239,9.81e-06,4681,64.512,high
shorts,9JttZssaqQw,36.74,61.2334,0.01860557,2220,0.0,
shorts,J7MMiANx8vw,36.7295,61.2159,0.01859077,2221,0.0,
shorts,sg3AKAZhXY8,36.7191,61.1985,0.01859031,2222,0.0,
shorts,YXOk3n6LA6k,36.7086,61.181,0.01855408,2223,0.0,
shorts,_uGrOS67m9M,36.6981,61.1635,0.01854564,2224,0.0,
shorts,UyH33rTfmMA,36.6877,61.1461,0.01850068,2225,0.0,
shorts,GBeUlx-qMwM,36.6772,61.1286,0.01843435,2226,0.0,
shorts,o9m977ZyyWA,36.6667,61.1111,0.01838305,2227,0.0,
shorts,oaErm3Bv4pA,36.6562,61.0936,0.01836815,2228,0.0,
shorts,HyWpbCUdCr8,36.6504,18.6583,1.07e-05,4657,63.6386,high
shorts,2jzVQdgbuss,36.6457,61.0762,0.01826328,2229,0.0,
shorts,otMCRFF0GkY,36.6352,61.0587,0.01821788,2230,0.0,
shorts,z1zjs2MI0qs,36.6247,61.0412,0.01820678,2231,0.0,
shorts,cqBx1XJEg6o,36.5927,22.1873,2.271e-05,4455,58.2007,high
shorts,yU7LNxVOvis,36.5862,21.3487,1.917e-05,4503,59.4425,high
shorts,64Yzzwq8XqY,36.5723,60.9539,0.01790011,2236,0.0,
shorts,gkBmzQwvivI,36.5442,21.471,1.972e-05,4496,59.154,high
shorts,wgeQ9t3WcRg,36.5402,20.283,1.543e-05,4564,60.9261,high
shorts,SW0_HZ3B144,36.5304,60.884,0.0176671,2240,0.0,
shorts,vnwkvvLobjk,36.5095,60.8491,0.01757931,2242,0.0,
shorts,q073oFDRQIQ,36.5039,21.4535,1.944e-05,4497,59.0795,high
shorts,iowRMNUU9QQ,36.499,60.8316,0.01756848,2243,0.0,
shorts,jMTSJubo3Mw,36.4942,19.7065,1.332e-05,4597,61.6757,high
shorts,16146xHp1zg,36.4808,24.109,3.229e-05,4345,55.0386,high
shorts,fMescOqCT4M,36.478,60.7966,0.01750376,2245,0.0,
shorts,l0fEgTBT50M,36.4465,60.7442,0.01729777,2248,0.0,
