execution_date,video_id,channel_id,channel_name,upload_date,video_age_days,views,views_delta,views_per_day_since_upload,lifecycle_stage
2026-05-05T22:35:51.664592+00:00,gpfhjHmbmIE,UCPgVPrgqpALC1s2e63fgKyg,elWacky,2026-05-04T20:00:24+00:00,1.107959,199523,22111,180081.573416,early
2026-05-05T22:35:51.664592+00:00,MOrBFf1DVvs,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-02T16:00:35+00:00,3.274498,1050355,21461,320768.252111,early
2026-05-05T22:35:51.664592+00:00,Rij6WQMuxcw,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-04T17:15:01+00:00,1.222809,295144,21330,241365.577126,early
2026-05-05T22:35:51.664592+00:00,Su0aCV35IFM,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-04-27T15:31:42+00:00,8.294556,5505141,21157,663705.326723,active
2026-05-05T22:35:51.664592+00:00,A2O_CSDImRs,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-02T22:00:18+00:00,3.024695,753661,20601,249169.255082,early
2026-05-05T22:35:51.664592+00:00,6CyjL4X8e7g,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,2026-05-05T16:22:27+00:00,0.259313,20494,20182,79031.90353,first_24h
2026-05-05T22:35:51.664592+00:00,ydRguU_cH8Y,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-03T19:00:00+00:00,2.149904,255328,19798,118762.512187,early
2026-05-05T22:35:51.664592+00:00,2ZV29QhLfjw,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,2026-05-01T00:45:29+00:00,4.909985,771411,19493,157110.663271,early
2026-05-05T22:35:51.664592+00:00,0y8vRPcSvbw,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-29T16:00:05+00:00,6.274846,2246786,19451,358062.333323,early
2026-05-05T22:35:51.664592+00:00,xjcVnFd-4YA,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-29T22:01:16+00:00,6.024024,1514121,18457,251347.106187,early
2026-05-05T22:35:51.664592+00:00,eOI7WQIEX1Y,UCQX_MZRCaluNKxkywkLEgfA,Date un Vlog,2026-04-28T16:27:03+00:00,7.256119,1648536,18185,227192.525371,active
2026-05-05T22:35:51.664592+00:00,YGwqvGyl9f8,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-05T15:15:03+00:00,0.306119,30834,18121,100725.534841,first_24h
2026-05-05T22:35:51.664592+00:00,suqYhItddAc,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-03T23:00:00+00:00,1.983237,155988,17269,78653.232065,early
2026-05-05T22:35:51.664592+00:00,PnpHwhTWw0c,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-04-27T07:00:18+00:00,8.649695,1518678,16881,175575.901809,active
2026-05-05T22:35:51.664592+00:00,iBpxQpktHN4,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-28T12:01:18+00:00,7.440667,2038057,16296,273907.836488,active
2026-05-05T22:35:51.664592+00:00,a9T6IRpz31E,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-28T22:00:00+00:00,7.024904,920953,15431,131098.303977,active
2026-05-05T22:35:51.664592+00:00,PoHZWjU54jY,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-23T11:06:00+00:00,12.47907,2185674,14679,175147.186449,active
2026-05-05T22:35:51.664592+00:00,u_f8bJkfg68,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,2026-04-26T21:13:59+00:00,9.05686,4004767,14466,442180.512893,active
2026-05-05T22:35:51.664592+00:00,z2Y4_cDvEYc,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-05T03:00:00+00:00,0.81657,52385,14254,64152.491519,first_24h
2026-05-05T22:35:51.664592+00:00,kB_PJC80JhY,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,2026-05-01T18:55:11+00:00,4.153248,1166300,14107,280816.363482,early
2026-05-05T22:35:51.664592+00:00,Hk-ARbCTKzM,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-23T19:15:00+00:00,12.139487,5533414,14016,455819.426307,active
2026-05-05T22:35:51.664592+00:00,66gMxbNKaYA,UCDfbsXLRCyk_LIkrtaTmliQ,PlanetaJuan,2026-05-03T14:00:16+00:00,2.358052,339449,14016,143953.144375,early
2026-05-05T22:35:51.664592+00:00,mpZK1dqX6aA,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-30T13:44:00+00:00,5.369348,904812,13829,168514.31496,early
2026-05-05T22:35:51.664592+00:00,tpay1lEGZ7g,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2026-05-02T16:01:32+00:00,3.273839,450580,13578,137630.469916,early
2026-05-05T22:35:51.664592+00:00,OEtIq4tR1rA,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-03T07:00:00+00:00,2.649904,149694,13482,56490.34833,early
2026-05-05T22:35:51.664592+00:00,dl0-TveDDGA,UCsXVk37bltHxD1rDPwtNM8Q,Kurzgesagt – In a Nutshell,2026-04-21T14:00:01+00:00,14.358225,1861191,13372,129625.423755,active
2026-05-05T22:35:51.664592+00:00,pG99B0ui06s,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-04-29T14:19:41+00:00,6.344568,1834269,13266,289108.572877,early
2026-05-05T22:35:51.664592+00:00,tkLxg6h07aE,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-29T15:01:39+00:00,6.315424,987110,13174,156301.461311,early
2026-05-05T22:35:51.664592+00:00,snM0UfZxakc,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-05-01T16:01:26+00:00,4.273908,758255,13077,177414.909259,early
2026-05-05T22:35:51.664592+00:00,W41XcEogOB0,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-24T19:15:01+00:00,11.139475,3697626,12712,331938.982762,active
2026-05-05T22:35:51.664592+00:00,BflRX7z7SHs,UCtT7zEoC9-HNyLYb8cYWoww,Ale Marin,2026-05-04T19:38:45+00:00,1.122994,23443,12586,20875.445461,early
2026-05-05T22:35:51.664592+00:00,UPbaPjDGQIE,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-22T17:15:03+00:00,13.222785,2394350,12463,181077.586908,active
2026-05-05T22:35:51.664592+00:00,fuxYQrqkfns,UCOWFKaCN-rzmYk502JFWnqg,Eze Martínez,2026-05-02T17:02:42+00:00,3.231362,715798,11187,221515.88092,early
2026-05-05T22:35:51.664592+00:00,s6XPoPYDn-Y,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-28T16:01:31+00:00,7.27385,1320427,11073,181530.6887,active
2026-05-05T22:35:51.664592+00:00,W65cfPslnzo,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-30T23:10:00+00:00,4.976292,606331,11037,121843.935203,early
2026-05-05T22:35:51.664592+00:00,SAtFZPtbMpI,UCoxcjq-8xIDTYp3uz647V5A,Numberphile,2026-05-04T13:12:05+00:00,1.391512,107781,10821,77456.033437,early
2026-05-05T22:35:51.664592+00:00,SzDnUAJkenI,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-05T09:00:00+00:00,0.56657,22521,10762,39749.722011,first_24h
2026-05-05T22:35:51.664592+00:00,zRD_VJMMaPI,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-05T15:00:00+00:00,0.31657,14602,10683,46125.659412,first_24h
2026-05-05T22:35:51.664592+00:00,v_1Dhh8G84c,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-27T19:00:56+00:00,8.149255,1745245,10640,214160.067393,active
2026-05-05T22:35:51.664592+00:00,-CTY5XDxt8E,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-04T07:00:00+00:00,1.649904,77124,10626,46744.537864,early
2026-05-05T22:35:51.664592+00:00,N-zjDtQOwxc,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2026-04-30T16:00:40+00:00,5.274441,850773,10608,161301.07437,early
2026-05-05T22:35:51.664592+00:00,Z50QkVZcP1k,UCDV1MWcRLthxSrmb2Zv-jeg,Ricardo Alca2,2026-05-04T19:07:21+00:00,1.144799,69148,10168,60401.869673,early
2026-05-05T22:35:51.664592+00:00,pUlUgkaTQZg,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-04-26T14:45:42+00:00,9.326501,1783490,9807,191228.200158,active
2026-05-05T22:35:51.664592+00:00,33HT7CnI79k,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-05-04T16:21:21+00:00,1.260077,89441,9745,70980.582933,early
2026-05-05T22:35:51.664592+00:00,2r0m4TsyIxs,UCM55RjebjSevVWPnj2LEymw,viyaura,2026-05-02T15:00:50+00:00,3.315991,249454,9676,75227.586565,early
2026-05-05T22:35:51.664592+00:00,Lqq78q17jDY,UCVt4ugq2txl_szlXAO7B3-g,Adrián Sáenz,2026-04-21T15:59:55+00:00,14.274961,431523,9626,30229.36455,active
2026-05-05T22:35:51.664592+00:00,rfRFwXnk660,UC5PwIMtLiIBCBhsu8f_-6UQ,Santiago Bilinkis,2026-04-30T18:00:00+00:00,5.19157,260291,9220,50137.241721,early
2026-05-05T22:35:51.664592+00:00,pXI3xinu4bc,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-01T19:15:03+00:00,4.139452,1098766,9105,265437.550671,early
2026-05-05T22:35:51.664592+00:00,yE8fJOgv7Pc,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-30T19:00:50+00:00,5.149325,959556,9014,186345.977385,early
2026-05-05T22:35:51.664592+00:00,FMdrD_jcYgE,UC7_gcs09iThXybpVgjHZ_7g,PBS Space Time,2026-04-30T20:15:00+00:00,5.09782,783074,8665,153609.582135,early
2026-05-05T22:35:51.664592+00:00,KUvWaj4IFZg,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,2026-05-04T17:32:45+00:00,1.210494,75877,8646,62682.673355,early
2026-05-05T22:35:51.664592+00:00,rHDw0XcyZ1I,UC1viRct91s1a3Z5yvk7FJXw,Diego Ruzzarin,2026-05-05T02:00:49+00:00,0.85767,39261,8623,45776.347546,first_24h
2026-05-05T22:35:51.664592+00:00,2pao0845DQQ,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-02T05:00:00+00:00,3.733237,212191,8607,56838.341632,early
2026-05-05T22:35:51.664592+00:00,0t118SCf-2w,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-25T22:00:06+00:00,10.024834,1948640,8424,194381.273545,active
2026-05-05T22:35:51.664592+00:00,07T7V-Szcx0,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-04-21T15:00:00+00:00,14.31657,466536,8347,32587.135047,active
2026-05-05T22:35:51.664592+00:00,m-nnyNZ0TQ0,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-04-23T07:00:42+00:00,12.649417,2091047,7954,165307.776635,active
2026-05-05T22:35:51.664592+00:00,SWyHoj5CRqs,UCwd_qoS94df5orGoPLPnsxQ,Franco Pisso,2026-05-05T13:09:43+00:00,0.393156,11555,7942,29390.369217,first_24h
2026-05-05T22:35:51.664592+00:00,dU5sDKcwN9E,UCGq-a57w-aPwyi3pW7XLiHw,The Diary Of A CEO,2026-04-28T18:00:36+00:00,7.191154,435143,7919,60510.872108,active
2026-05-05T22:35:51.664592+00:00,roUppNywDks,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-27T15:01:33+00:00,8.315494,894916,7702,107620.304939,active
2026-05-05T22:35:51.664592+00:00,if955Z_s4Ts,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-04-28T11:00:00+00:00,7.483237,318311,7582,42536.538666,active
2026-05-05T22:35:51.664592+00:00,ERWIJPTNZVM,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-23T19:36:00+00:00,12.124904,1132598,7571,93410.883913,active
2026-05-05T22:35:51.664592+00:00,Cr7oGnSzmb4,UC415bOPUcGSamy543abLmRA,Cleo Abram,2026-04-21T14:52:40+00:00,14.321663,2037489,7566,142266.229837,active
2026-05-05T22:35:51.664592+00:00,8TvJvfKz8Fo,UCTfQ65AxquXmih3r6rZmK-Q,jefillysh,2026-04-30T19:14:13+00:00,5.140031,278016,7561,54088.389739,early
2026-05-05T22:35:51.664592+00:00,qNEB_w5ECeI,UChhw6DlKKTQ9mYSpTfXUYqA,Starter Story,2026-05-05T15:27:41+00:00,0.297346,8271,7436,27816.079584,first_24h
2026-05-05T22:35:51.664592+00:00,9pPCy9wqxuk,UCRDQzsHtx2cXvzEXnEhbxBg,Mister Krax,2026-05-04T07:45:28+00:00,1.618329,49342,7353,30489.474019,early
2026-05-05T22:35:51.664592+00:00,VVLYJf2t88c,UCl5-lvQyfILb-l2abPk4Ntg,Inteligencia Artificial,2026-05-04T18:00:00+00:00,1.19157,61193,7253,51354.935086,early
2026-05-05T22:35:51.664592+00:00,ucN2hf0CgI8,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-22T19:00:50+00:00,13.149325,1500369,7232,114102.358866,active
2026-05-05T22:35:51.664592+00:00,3PZ3d4eNWrc,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-05-01T17:15:00+00:00,4.22282,862708,7142,204296.654842,early
2026-05-05T22:35:51.664592+00:00,ExlWYbISs6I,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,2026-04-29T17:15:03+00:00,6.222785,590331,7121,94866.044705,early
2026-05-05T22:35:51.664592+00:00,IrGd4xIhTN0,UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing,2026-04-29T16:04:16+00:00,6.271941,527282,7102,84069.987266,early
2026-05-05T22:35:51.664592+00:00,jytAQWCc_TI,UCC552Sd-3nyi_tk2BudLUzA,AsapSCIENCE,2026-04-29T18:00:50+00:00,6.190991,271165,7087,43799.934453,early
2026-05-05T22:35:51.664592+00:00,mK3xENFCGnI,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,2026-05-02T17:57:43+00:00,3.193156,521186,7051,163219.711157,early
2026-05-05T22:35:51.664592+00:00,u5XWNSVJajg,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-05T05:00:00+00:00,0.733237,24313,6873,33158.446723,first_24h
2026-05-05T22:35:51.664592+00:00,fwUWAoSeg2g,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,2026-04-29T00:00:54+00:00,6.940945,284735,6867,41022.512064,early
2026-05-05T22:35:51.664592+00:00,MVFd0qFB9TE,UCHnyfMqiRRG1u-2MsSQLbXA,Veritasium,2026-04-24T13:00:42+00:00,11.399417,4158533,6804,364802.252606,active
2026-05-05T22:35:51.664592+00:00,WgcdDVIUXcI,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,2026-04-25T19:59:06+00:00,10.108862,6627520,6703,655614.845667,active
2026-05-05T22:35:51.664592+00:00,8u7HqZJQHDM,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-24T15:00:28+00:00,11.316246,996846,6645,88089.81353,active
2026-05-05T22:35:51.664592+00:00,4Zi41MRVP0g,UC5mQQ4Ur6oA8lsGFkvH2lyg,Noche De Chicxs,2026-05-01T00:00:08+00:00,4.941478,126444,6498,25588.295648,early
2026-05-05T22:35:51.664592+00:00,BdUzhVM5w1U,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,2026-04-24T10:47:00+00:00,11.492265,2542193,6370,221209.047999,active
2026-05-05T22:35:51.664592+00:00,5YKhtb3DNNo,UCNYW2vfGrUE6R5mIJYzkRyQ,DrossRotzank,2026-04-28T16:00:09+00:00,7.274799,772891,6301,106242.248068,active
2026-05-05T22:35:51.664592+00:00,uWa0odbimaU,UCDOSaJ0pnglwzfkR6fYbisA,Luis Mi Negocios,2026-05-03T17:48:38+00:00,2.199464,130044,6284,59125.314167,early
2026-05-05T22:35:51.664592+00:00,uTBQ0E07n88,UCRlBDnRQduDk4tmm1OtpSRg,UN POCO MEJOR,2026-05-05T15:01:36+00:00,0.315459,7061,6248,22383.257412,first_24h
2026-05-05T22:35:51.664592+00:00,5wuHYQMnYhA,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,2026-04-21T16:00:09+00:00,14.274799,916252,6157,64186.683119,active
2026-05-05T22:35:51.664592+00:00,RRDqtyH9sZc,UCUyDOdBWhC1MCxEjC46d-zw,Alex Hormozi,2026-05-05T11:00:00+00:00,0.483237,12883,6136,26659.796332,first_24h
