grain,period_start,period_end,channel_id,channel_name,period_video_count,period_new_videos,period_views_delta,period_likes_delta,period_comments_delta,period_avg_engagement_rate,period_top_video_id,period_top_video_title,period_top_video_views_delta
weekly,2026-05-18,2026-05-24,UCFOSg71CRAJ58IPuV_-jMbw,Tecnonauta,2,2,103384,3868,444,0.057682,FZMKEasVKw8,"TELÉFONO MÁS BARATO ES MEJOR!!!!? ¿Samsung, Google o Nothing?",58499
weekly,2026-05-18,2026-05-24,UCUvvj5lwue7PspotMDjk5UA,Meet Kevin,23,23,103282,1921,170,0.032648,bvcjsiIKt5M,SpaceX IPO **MASSIVE LOSSES REVEALED** [JUST OUT],15447
weekly,2026-05-18,2026-05-24,UC4mg-nKTVI9CWodPPqB5d3A,Luna Martínez ,4,1,100032,6836,541,0.133703,3Qe_PQFBRVQ,LOS SUEÑOS MAS INQUIETANTES DE MIS SUBS..👀😰| Luna Martínez,72258
weekly,2026-05-18,2026-05-24,UCY30JRSgfhYXA6i6xX1erWg,Smosh,1,1,98304,4043,190,0.063032,LOMhryKMIJc,Bit City Town Hall,98304
weekly,2026-05-18,2026-05-24,UCSju5G2aFaWMqn-_0YBtq5A,Stand-up Maths,2,0,94770,3236,254,0.050374,XllQPr8FtPE,The paper scale system is broken.,77817
weekly,2026-05-18,2026-05-24,UC22BdTgxefuvUivrjesETjg,History Matters,1,1,92926,2545,159,0.051061,YuYDi5dh_70,Why didn't Germany stop expanding in 1939? (Short Animated Documentary),92926
weekly,2026-05-18,2026-05-24,UCm5iBOcQ0GET_2FqFI61QDA,Cara Nicole,11,5,92303,1260,99,0.057369,1v4MMZPiu70,My 2026 Goals with MasterClass ✏️ (ft my clones!),70653
weekly,2026-05-18,2026-05-24,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,4,1,90471,3929,734,0.062174,eMK36QZCpLY,Así es ESTAR EMBARAZADO siendo un CHICO TRANS,63349
weekly,2026-05-18,2026-05-24,UC6RTPEfYFMcb0-HLLMEpLdw,Caja de Peliculas,4,4,89195,4852,290,0.082193,6GA5M3iJxW0,Sobre el FINAL de THE BOYS...,50395
weekly,2026-05-18,2026-05-24,UCPH3Oz99Y_jrVBCQMjQZNSg,Memorias de Pez,10,10,82225,2986,319,0.053308,yEl1heP4AOU,⚠️El COLAPSO de CUBA explicado en 30 minutos⚠️,39274
weekly,2026-05-18,2026-05-24,UCKWaEZ-_VweaEx1j62do_vQ,IBM Technology,11,10,81405,2398,202,0.042501,BedAaB1RKgE,MCP vs ADK: How Modern AI Agents Connect and Work Together,33006
weekly,2026-05-18,2026-05-24,UCUFoQUaVRt3MVFxqwPUMLCQ,StudioBinder,2,1,81282,2719,166,0.05354,C9GetclfPOg,Why Directors Still Study Michael Mann's Directorial Debut,77612
weekly,2026-05-18,2026-05-24,UCG8rbF3g2AMX70yOd8vqIZg,Logan Paul,1,1,80093,1733,32,0.034271,TERsJnGoPVo,I Confronted Clavicular,80093
weekly,2026-05-18,2026-05-24,UCeUJFQ0D9qs6aVNyUt9fkeQ,The Armchair Historian,1,1,77098,3352,106,0.066527,vcg1WMzr9xw,U.S. Island Hopping Strategy,77098
weekly,2026-05-18,2026-05-24,UCBa5G_ESCn8Yd4vw5U-gIcg,Stanford Online,19,19,73915,1735,121,0.031523,tsQB0n0YV3k,Stanford CS153 Frontier Systems | Jensen Huang from NVIDIA on the Compute Behind Intelligence,20751
weekly,2026-05-18,2026-05-24,UCqLiW00gUvXG0J5vlZZNJ1g,FranqitoM,2,1,70924,3582,129,0.059643,0Fv3DhrMmxA,Construyendo las ideas estúpidas de mis seguidores,67489
weekly,2026-05-18,2026-05-24,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,10,10,69140,2030,189,0.044643,gjXczf-hSwg,Cómo empezar a AHORRAR tus primeros 100.000€ para construir tu FORTUNA,31451
weekly,2026-05-18,2026-05-24,UCodbH5mUeF-m_BsNueRDjcw,Overly Sarcastic Productions,4,4,68276,3536,384,0.060724,snfflY-ztHk,Trope Talk: Dream Apocalypses,51547
weekly,2026-05-18,2026-05-24,UCWxlUwW9BgGISaakjGM37aw,Valkyrae,7,7,65308,1143,74,0.031502,If2mdF8yYH8,🔴LIVE! STARTING GOD OF WAR 4 (also live on twitch),16883
weekly,2026-05-18,2026-05-24,UC88lvyJe7aHZmcvzvubDFRg,Timeline - World History Documentaries,8,8,61585,867,143,0.026856,-5AH816R3oY,Forensic Geologist Investigates America's Most Enduring Mysteries,23374
weekly,2026-05-18,2026-05-24,UCvSXMi2LebwJEM1s4bz5IBA,New Money,2,2,60766,995,165,0.026613,EJ8-0F-ORfQ,The S&P 500 Has Never Looked Like This Before.,37437
weekly,2026-05-18,2026-05-24,UC29ju8bIPH5as8OGnQzwJyA,Traversy Media,2,2,58537,3844,706,0.091525,g3LNpKqC9sk,I need to say this,36181
weekly,2026-05-18,2026-05-24,UC4jlzJyMNQkkcEcCN3EFG7g,Brin,3,1,56975,1948,227,0.054293,XdptC5iD70M,prepárate para sentir mucha rabia viendo esto.,48371
weekly,2026-05-18,2026-05-24,UCZRsSEs1OX74qBh0x5T22tg,EL CACHONDO,6,1,56725,2972,178,0.084348,BUa3pYi1x4A,LA CHABONA,25580
weekly,2026-05-18,2026-05-24,UCJHA_jMfCvEnv-3kRjTCQXw,Binging with Babish,2,2,55919,1553,55,0.034262,_vzBiTAiBAk,I Made Every Star Wars Food,55919
weekly,2026-05-18,2026-05-24,UCPTlwyaEoJOVyvDLzHagzNQ,WATOP,12,2,54036,2494,128,0.048519,g6Cq3m3gq1g,El Cártel Se Metió Con El Padre Equivocado,28606
weekly,2026-05-18,2026-05-24,UCwnKziETDbHJtx78nIkfYug,CaspianReport,2,2,52423,2149,381,0.065688,7maiBkIm2oU,We built our own CIA-like intelligence hub,28347
weekly,2026-05-18,2026-05-24,UC9WGON3pXofvE958Uq3Lw3Q,Éxito Financiero — Finanzas Personales Y Educación,13,2,52084,1962,209,0.05573,_IGkTN4JrkM,Por Qué NO Uso Tarjeta Débito (Millones Ahorrados En 15 AÑOS Por NO Usarla),29198
weekly,2026-05-18,2026-05-24,UCqynl7rdtktKMQESdSBmE-g,Sapnap,1,1,51976,2018,2,0.046334,VLW8Cum-cAk,Minecraft Arrow Toss...,51976
weekly,2026-05-18,2026-05-24,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,9,9,51177,645,55,0.031877,rrylSizvnSg,Claude Just Got a Superpower No One's Talking About,19044
weekly,2026-05-18,2026-05-24,UCSPLhwvj0gBufjDRzSQb3GQ,BobbyBroccoli,1,0,50488,1268,111,0.045038,ZVzRMrLmQCc,The year Toronto went insane,50488
weekly,2026-05-18,2026-05-24,UCtu2BCnJoFGRBOuIh570QWw,Sodapoppin,4,4,50120,557,48,0.018257,U-kGtQ7bMm8,Bro vs Bro Against xQc Was Absolute Cinema..,26497
weekly,2026-05-18,2026-05-24,UCfLuMSIDmeWRYpuCQL0OJ6A,Kwebbelkop,1,1,49976,107,15,0.007136,6mK7FF5vbfs,"I Bought a $10,000 Abandoned Storage Unit!",49976
weekly,2026-05-18,2026-05-24,UC8h85qEsJ25Os5THPu6QpHg,Spursito,7,7,49700,2412,82,0.064667,gVjEPUBR0DU,😱 La SELECCIONES que DEBUTAN en ESTE MUNDIAL!!! Tienen NIVEL?,15348
weekly,2026-05-18,2026-05-24,UCYZLVhSSwdBllvn4tw5a4uQ,Rob Paper Sheet,3,1,48676,3657,507,0.070151,FbFgilzrkGA,Tengo un Problema de Consumo...,44482
weekly,2026-05-18,2026-05-24,UC4FHiPgS1KXkUMx3dxBUtPg,HolaMundo,6,1,47818,1979,109,0.056527,4wxw5XHWzAE,"Borra Windows, esto es mejor y te obliga a trabajar como hacker",27209
