execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views,total_views_delta,total_likes_delta,total_comments_delta,avg_engagement_rate,median_views_delta,top_video_id,top_video_title,top_video_views_delta,shorts_count,mid_count,long_count
2026-05-18T02:10:49.522964+00:00,UCdfnfXWCGkBAx2cN2l-4u2w,Semo Historia,6,0,10832,24,1,0,0.049541,4,p0dwtWXK_js,Cuenca de México en modelo de arcilla #cdmx #historia,8,6,0,0
2026-05-18T02:10:49.522964+00:00,UCiqJoWIT-vm-hJoXilFGiUQ,Inversión Inteligente - Alain Cortés,15,0,11724,11,1,0,0.024815,0,tLlucpJbi5E,La retención de ISR en tus ganancias de Revolut,4,15,0,0
2026-05-18T02:10:49.522964+00:00,UCP7PV59jal4PobLeo5cSG_Q,Santiago Amat,4,0,5630,6,0,0,0.043333,1.5,M_iusAv-K8Y,Estrategia impulsos Trading Bitcoin,3,4,0,0
2026-05-18T02:10:49.522964+00:00,UC71VTsUKOsh6QEGnzaa2KuQ,Rankia,1,1,4703,0,0,0,0.022964,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,5,5,6394,0,0,0,0.018646,,,,,5,0,0
2026-05-18T02:10:49.522964+00:00,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,3,3,27050,0,0,0,0.031809,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCwd8Byi93KbnsYmCcKLExvQ,Negocios TV,33,33,1060333,0,0,0,0.019163,,,,,22,11,0
2026-05-18T02:10:49.522964+00:00,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,6,6,337215,0,0,0,0.018694,,,,,6,0,0
2026-05-18T02:10:49.522964+00:00,UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,1,1,3650,0,0,0,0.036438,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,6,6,141504,0,0,0,0.015201,,,,,6,0,0
2026-05-18T02:10:49.522964+00:00,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,19,19,290633,0,0,0,0.01415,,,,,19,0,0
2026-05-18T02:10:49.522964+00:00,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,1,1,13126,0,0,0,0.011961,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,1,1,1867022,0,0,0,0.031778,,,,,1,0,0
2026-05-18T02:10:49.522964+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,2,2,4898619,0,0,0,0.02804,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UCXZCJLdBC09xxGZ6gcdrc6A,OpenAI,2,2,24358,0,0,0,0.029062,,,,,2,0,0
2026-05-18T02:10:49.522964+00:00,UC_x5XG1OV2P6uZZ5FSM9Ttw,Google for Developers,3,3,16146,0,0,0,0.017928,,,,,3,0,0
2026-05-18T02:10:49.522964+00:00,UCsMica-v34Irf9KVTh6xx-g,Microsoft Developer,5,5,5242,0,0,0,0.017159,,,,,5,0,0
2026-05-18T02:10:49.522964+00:00,UC8butISFwT-Wl7EV0hUK0BQ,freeCodeCamp.org,6,6,33761,0,0,0,0.011763,,,,,6,0,0
2026-05-18T02:10:49.522964+00:00,UC4JX40jDee_tINbkjycV4Sg,Tech With Tim,10,10,107234,0,0,0,0.037138,,,,,9,1,0
