execution_date,channel_id,channel_name,video_id,title,views_delta,engagement_rate,video_age_days,content_format,metadata_changed,growth_percentile,engagement_percentile,freshness_score,growth_robust_z,channel_median_views_delta,video_vs_channel_median_growth,relative_growth_percentile,metadata_change_score,alpha_score,opportunity_score,anomaly_score,anomaly_method
2026-05-18T12:49:30.314781+00:00,UCWBWgCD4oAqT3hUeq40SCUw,Sambucha,-wOQ2QVol0U,Animals That Killed Their Owners,163190,0.040261,2.732295,shorts,False,99.218539,79.194631,67.683493,2.191524,4063.5,40.159961,93.721369,0,79.462213,81.808993,43.83048,robust_z
2026-05-18T12:49:30.314781+00:00,UCGmnsW623G1r-Chmo5RB4Yw,KSI,RGq6mAHR9u0,Guess What Hit You,158639,0.026098,0.78983,shorts,False,99.191593,59.241094,89.329996,2.18309,219394,0.723078,43.330639,0,68.630903,62.967275,43.6618,robust_z
2026-05-18T12:49:30.314781+00:00,UCaY_-ksFSQtTGk0y1HA_3YQ,Ibai,G-gtlAc65-A,A Roro se le ha ido la cabeza,149535,0.048609,1.950698,shorts,True,99.164646,85.183273,75.678874,2.165465,76588.5,1.952447,64.187551,100,85.933622,79.359077,43.3093,robust_z
2026-05-18T12:49:30.314781+00:00,UCqynl7rdtktKMQESdSBmE-g,Sapnap,aEqsCOxrQ3Y,Minecraft Arrow Toss...,149421,0.033273,2.674251,shorts,False,99.137699,72.250903,68.247058,2.165237,75828,1.970525,64.268391,0,72.239112,69.848995,43.30474,robust_z
2026-05-18T12:49:30.314781+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,kPOpd81QHYM,FIRST EVER CAPSULE LOCK! #ufcvegas117,149124,0.00447,1.599564,shorts,False,99.110752,1.419721,79.571902,2.164644,2350,63.457021,95.580706,0,66.024634,65.077642,43.29288,robust_z
2026-05-18T12:49:30.314781+00:00,UCXuqSBlHAE6Xw-yeJA0Tunw,Linus Tech Tips,9uyS40FPbfs,Dropping the Steam Controller INTENTIONALLY,142830,0.02922,2.816566,shorts,False,99.083805,65.616933,66.873556,2.151784,80288.5,1.77896,62.624629,0,70.358678,67.365392,43.03568,robust_z
2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,Gab74WWEIZQ,How Far Away The Moon REALLY Is,142681,0.041879,5.915247,shorts,False,99.056858,80.356221,42.95422,2.151473,25791,5.532201,78.631097,0,72.910497,72.461878,43.02946,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,5VXu4nmx6Mo,Kai Cenat Meets Good Luck Charlie 👀,138732,0.013419,5.624217,shorts,False,99.029911,24.651523,44.777716,2.143103,88460.5,1.568293,60.819186,0,58.471268,52.615931,42.86206,robust_z
2026-05-18T12:49:30.314781+00:00,UCYiGq8XF7YQD00x7wAd62Zg,JuegaGerman,7lCBKAxPsfs,Cosas Que DEBES Buscar En GOOGLE,133982,0.035895,4.695906,shorts,False,99.002964,74.909654,51.127702,2.132713,133982,1,50.673673,0,67.436858,62.736066,42.65426,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,mkYeITacS2A,Grown Man Spends 12 Hours On ROBLOX,126815,0.029841,5.492226,shorts,False,98.976017,66.907589,45.630049,2.116318,4240,29.909198,92.374023,0,73.342436,74.363867,42.32636,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,p5JPGLcgdNg,Kai Cenat Can't Believe What Duke Dennis Did In His Room 😭,112718,0.03254,2.822666,shorts,False,98.94907,70.986061,66.815306,2.081177,88460.5,1.274218,56.965777,0,70.244838,66.693303,41.62354,robust_z
2026-05-18T12:49:30.314781+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,dGlonEIK7Io,A is for Apple🍎! Learn ABCs with JJ!,112377,0.007595,7.033511,shorts,False,98.922123,5.924109,36.612251,2.080273,76422.5,1.47047,59.687416,0,53.236886,46.090138,41.60546,robust_z
2026-05-18T12:49:30.314781+00:00,UCvgfXK4nTYKudb0rFR6noLA,UFC,oZRhSOWLVaU,July 11 Will Be Electric⚡️#ufc329,111853,0.039238,0.575953,shorts,False,98.895177,78.394424,92.101496,2.078879,2350,47.597021,94.421989,0,82.991819,86.07072,41.57758,robust_z
2026-05-18T12:49:30.314781+00:00,UCeY0bbntWzzVIaj2z3QigXg,NBC News,r76-5ddZREM,Thousands attend prayer rally in Washington,111646,0.01886,0.536277,shorts,True,98.86823,40.939597,92.625009,2.078327,42,2658.238095,99.946106,100,86.674773,83.727353,41.56654,robust_z
2026-05-18T12:49:30.314781+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,xjMo5PVgqC0,The internet thinks Trump peeked at Xi’s notebook,109571,0.012743,2.81718,shorts,False,98.841283,22.560661,66.867691,2.072732,526.5,208.112061,98.490973,0,68.834929,69.111076,41.45464,robust_z
2026-05-18T12:49:30.314781+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,fcb9sIG3yuI,𝑱𝒐𝒂̃𝒐 𝑷𝒆𝒅𝒓𝒐 𝑪𝒂𝒗𝒂𝒄𝒐 𝑪𝒂𝒏𝒄𝒆𝒍𝒐. 🫰🏻,107275,0.03346,0.648152,shorts,False,98.814336,72.354156,91.15643,2.066417,165,650.151515,99.568849,0,82.643083,86.18252,41.32834,robust_z
2026-05-18T12:49:30.314781+00:00,UCPdaxSov0mgwh77JvjQO2jQ,Man Carrying Thing,hmsoe6odgqE,this video will be deleted in 24 hours,104904,0.144187,0.843337,shorts,True,98.787389,99.819308,88.649773,2.059752,1981,52.955073,94.745352,100,96.785984,95.917204,41.19504,robust_z
2026-05-18T12:49:30.314781+00:00,UCbCmjCuTUZos6Inko4u57UQ,Cocomelon - Nursery Rhymes,51qrG7SI0GM,Guess the Color of the Baby SHARK🦈🌈! Doo Doo DOO Learn Colors!,101118,0.008203,1.075906,shorts,False,98.760442,7.201859,85.752851,2.04879,76422.5,1.323144,57.720291,0,60.413512,54.292393,40.9758,robust_z
2026-05-18T12:49:30.314781+00:00,UCBYyJBCtCvgqA4NwtoPMwpQ,The Wild Project,WgvMTuBZ_34,Las secuelas físicas del boxeo…,100735,0.059888,6.84689,shorts,True,98.733495,89.932886,37.601466,2.047658,4387.5,22.959544,90.757208,100,86.334962,83.106863,40.95316,robust_z
2026-05-18T12:49:30.314781+00:00,UC-cnbLlplnXA4oc7rR21qzg,Lyna,PpbrNXvx7QI,Qué DUMPLING SQUISHY me toca? 🌈,97083,0.017266,0.971265,shorts,False,98.706548,36.396489,87.044375,2.036646,157607.5,0.61598,38.587982,0,62.600842,55.111327,40.73292,robust_z
2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,xd_YgSbX9lE,Gunther is BIG MAD,93446,0.034453,0.866786,shorts,False,98.679601,73.489933,88.353306,2.02526,2901.5,32.2061,92.75128,0,81.039099,83.56619,40.5052,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,xO9ikc0YJo0,A Fan Saves Kai Cenat's Day,91720,0.042859,3.922029,shorts,False,98.652654,81.156427,57.104352,2.0197,88460.5,1.036847,53.570466,0,70.03946,66.296246,40.394,robust_z
2026-05-18T12:49:30.314781+00:00,UCQHX6ViZmPsWiYSFAyS0a3Q,GothamChess,tJH_gXK_WBM,Memory Loss,90244,0.033464,6.123256,shorts,False,98.625707,72.379969,41.696589,2.014862,9128,9.886503,84.182161,0,72.085912,72.11515,40.29724,robust_z
2026-05-18T12:49:30.314781+00:00,UC52hytXteCKmuOzMViTK8_w,CdeCiencia,AP73EwBsx3c,Síndrome de Rapunzel,88854,0.052968,0.781092,shorts,False,98.59876,87.351575,89.441575,2.010233,1652,53.785714,94.826192,0,84.361356,87.93412,40.20466,robust_z
2026-05-18T12:49:30.314781+00:00,UCrPseYLGpNygVi34QpGNqpA,Ludwig,w-rkrhwKSsM,I messed up....,88438,0.030691,3.173638,shorts,False,98.571814,68.508002,63.54786,2.008833,28351,3.119396,71.759634,0,72.085841,70.613815,40.17666,robust_z
2026-05-18T12:49:30.314781+00:00,UCvCfpQXRXdJdL07pzTIA6Cw,Kai Cenat Live,aatps-GayQ0,Kai Cenat Friendzones Zoe 😂,85201,0.032111,4.933684,shorts,False,98.544867,70.573051,49.420148,1.997713,88460.5,0.963153,47.830773,0,65.58449,60.277911,39.95426,robust_z
2026-05-18T12:49:30.314781+00:00,UCJ5v_MCY6GNUBTO8-D3XoAg,WWE,kye4J9IQhBE,Cody wants Gunther NOW,84533,0.042522,0.658916,shorts,False,98.51792,80.84667,91.016365,1.995366,2901.5,29.134241,92.212342,0,82.745529,85.654487,39.90732,robust_z
2026-05-18T12:49:30.314781+00:00,UCE_M8A5yxnLfW0KghEeajjw,Apple,jQK-S-HyHgc,Watch Annie Choi turn her sketch into a fashion film,84242,0.005893,3.575964,shorts,False,98.490973,3.097574,59.998417,1.994338,25018,3.367256,72.675829,0,58.626284,53.946577,39.88676,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,L8BkLkDtThU,The Saddest Moment in Financial Audit History,83528,0.039793,4.617504,shorts,False,98.464026,78.833247,51.703566,1.991799,4240,19.7,89.814066,0,75.947407,77.422563,39.83598,robust_z
2026-05-18T12:49:30.314781+00:00,UCWJ2lWNubArHWmf3FIHbfcQ,NBA,9T52VDkW2yM,The moment it was announced that SGA is your 2025-26 @kia NBA MVP 👏‼️,77524,0.026872,0.509853,shorts,False,98.437079,61.099639,92.975316,1.969554,150,516.826667,99.407168,0,80.500637,83.564588,39.39108,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,mS13Z_za4t0,"Streamer Is Ignoring $20,000 Worth of DEBT",72274,0.034504,1.866925,shorts,False,98.410132,73.567372,76.590007,1.948642,4240,17.045755,88.682296,0,78.381981,80.055671,38.97284,robust_z
2026-05-18T12:49:30.314781+00:00,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,VIE2Ri2DQJg,Why Fitbit Air Could Be Huge,70088,0.031536,2.850224,shorts,False,98.383185,69.721218,66.552781,1.939483,70088,1,50.673673,0,68.49601,64.029884,38.78966,robust_z
2026-05-18T12:49:30.314781+00:00,UCRzPUBhXUZHclB7B5bURFXw,Eater,v1HaeSCvIXw,It took 2 years to perfect the atta chicken at Ambassadors Clubhouse #shorts,67707,0.02454,2.950119,shorts,False,98.356238,55.704698,65.60977,1.929176,67707,1,50.673673,0,65.541823,60.356011,38.58352,robust_z
2026-05-18T12:49:30.314781+00:00,UC415bOPUcGSamy543abLmRA,Cleo Abram,xxbkGphvnhY,How Big is the Biggest Volcano?,67230,0.039871,1.872457,shorts,False,98.329291,78.9365,76.529503,1.927068,25791,2.606723,69.091889,0,75.500355,74.516575,38.54136,robust_z
2026-05-18T12:49:30.314781+00:00,UCupvZG-5ko_eiXAupbDfxWw,CNN,j3Il0OW5Qhw,Train collides with septic truck in Virginia,64629,0.01418,0.531242,shorts,True,98.302344,26.716572,92.691657,1.915302,526.5,122.752137,97.520884,100,83.15706,79.235403,38.30604,robust_z
2026-05-18T12:49:30.314781+00:00,UCurvRE5fGcdUgCYWgh-BDsg,DAZN Boxing,xFecVd5DJkg,A dancing and screaming Usyk is always up for a fight 😂🔥,63086,0.016975,0.946913,shorts,False,98.275397,35.596283,87.347717,1.908095,524,120.39313,97.46699,0,74.111201,75.496562,38.1619,robust_z
2026-05-18T12:49:30.314781+00:00,UCTv-XvfzLX3i4IGWAm4sbmA,LALIGA EA SPORTS,buSliUsdoNs,La despedida de Lewandowski. 🥲💙❤️,62540,0.047679,0.647052,shorts,False,98.248451,84.537945,91.170756,1.905503,165,379.030303,99.137699,0,84.7977,88.981042,38.11006,robust_z
2026-05-18T12:49:30.314781+00:00,UCNye-wNBqNL5ZzHSJj3l8Bg,Al Jazeera English,6ZgsrOElm4w,Moment of collision between two Navy jets at Idaho air show | AJ Shorts,62098,0.031982,0.444992,shorts,False,98.221504,70.366546,93.840816,1.903388,213.5,290.857143,98.787389,0,82.284436,85.778129,38.06776,robust_z
2026-05-18T12:49:30.314781+00:00,UCLe_q9axMaeTbjN0hy1Z9xA,Caleb Hammer,Vsa4DmH9_6c,Togi is NOT a Millionaire,61962,0.022942,10.617272,shorts,False,98.194557,51.600413,21.942317,1.902734,4240,14.613679,87.442738,0,65.468073,64.529014,38.05468,robust_z
2026-05-18T12:49:30.314781+00:00,UC0QHWhjbe5fGJEPz3sVb6nw,Doctor Mike,xskMnb6Z9kY,The Problem With Donating A Kidney,61930,0.045939,5.710085,shorts,False,98.16761,83.479608,44.23179,1.90258,61930,1,50.673673,0,67.824088,63.525583,38.0516,robust_z
