execution_date,channel_id,channel_name,videos_tracked,new_videos,total_views_delta,median_views_delta,avg_engagement_rate,channel_growth_7d,channel_growth_30d,channel_momentum_7d_vs_30d,channel_momentum_score,publish_frequency_7d,publish_frequency_30d,channel_consistency_score,channel_volatility_robust,top_video_id,top_video_title,top_video_views_delta,shorts_ratio,mid_ratio,long_ratio,metric_confidence_score
2026-05-18T02:10:49.522964+00:00,UCmE44gpkHmf5bKIVTPSwxnQ,Judith Tiral,3,0,190,65,0.027182,4626,30256,0.655266,77.033493,1,1,48.214286,2.523364,r9R3Z05qJyY,ASÍ es UNA GUERRA por DENTRO,86,1,0,0,70.25
2026-05-18T02:10:49.522964+00:00,UCb8GKeOvI7WsFUkB4UVAeXA,Cordura Artificial,1,0,31,31,0.078224,434,9964,0.186672,74.162679,0,1,3.571429,10.747126,0SSctcuOy0o,Mi nuevo lector de E-books #productividad #libros #lectura #tecnologia,31,1,0,0,66.75
2026-05-18T02:10:49.522964+00:00,UCm5iBOcQ0GET_2FqFI61QDA,Cara Nicole,3,0,58,21,0.052091,4210,13909,1.297207,81.339713,0,3,12.5,5.792,2MInIAO3bFA,Little changes can turn into big savings 💸,29,1,0,0,70.25
2026-05-18T02:10:49.522964+00:00,UC30ajuhy8cViP2DiM1QLjmg,98grados,5,0,49,7,0.076064,664,35795,0.0795,72.727273,0,4,16.071429,5.7,Lc4kaEMcYPQ,Por el mismo dinero: ¿Cuál es mejor? iPhone vs Cámara #iphone #apple #cinematic,20,1,0,0,73.75
2026-05-18T02:10:49.522964+00:00,UCOvzFyIAr32yspwxx77BHcQ,Rob Paper Clips,1,0,12,12,0.052156,243,6019,0.173024,73.684211,0,1,60.714286,2.171429,3skIuC1lP00,"Las mujeres tienen pepino… y están guangas, según esta fan del temach",12,1,0,0,66.75
2026-05-18T02:10:49.522964+00:00,UCtoo4_P6ilCj7jwa4FmA5lQ,Soy Dalto,1,0,10,10,0.06232,171,5238,0.139912,73.205742,0,1,23.214286,4.451613,s2NSwy8xraQ,Con ESTO tu vida podria ser MÁS FÁCIL,10,1,0,0,63
2026-05-18T02:10:49.522964+00:00,UCX9NJ471o7Wie1DQe94RVIg,Fazt,1,0,10,10,0.03471,10,10,4.285714,99.760766,0,0,100,,s23TO2BQBcU,El FIN de la IA barata ya comenzó 🚨,10,0,1,0,43
2026-05-18T02:10:49.522964+00:00,UCHMSzZaVrEjK35aYK3J7Htw,Pequeño Cerdo Capitalista,6,0,17,2.5,0.041903,265,3883,0.292484,75.119617,0,6,41.071429,3.285714,9T90MfOpaZY,uando tus Papás se Enferman: Cómo Afrontarlo sin Romperte 💙,8,1,0,0,75.5
2026-05-18T02:10:49.522964+00:00,UCdfnfXWCGkBAx2cN2l-4u2w,Semo Historia,6,0,24,4,0.049541,1401,2713,2.213154,88.516746,1,6,73.214286,1.782609,p0dwtWXK_js,Cuenca de México en modelo de arcilla #cdmx #historia,8,1,0,0,75.5
2026-05-18T02:10:49.522964+00:00,UCiqJoWIT-vm-hJoXilFGiUQ,Inversión Inteligente - Alain Cortés,15,0,11,0,0.024815,113,1699,0.285042,74.641148,0,15,26.785714,4,tLlucpJbi5E,La retención de ISR en tus ganancias de Revolut,4,1,0,0,91.25
2026-05-18T02:10:49.522964+00:00,UCP7PV59jal4PobLeo5cSG_Q,Santiago Amat,4,0,6,1.5,0.043333,125,1653,0.324086,75.598086,0,4,19.642857,5,M_iusAv-K8Y,Estrategia impulsos Trading Bitcoin,3,1,0,0,72
2026-05-18T02:10:49.522964+00:00,UC71VTsUKOsh6QEGnzaa2KuQ,Rankia,1,1,0,,0.022964,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UCzKnSeOq30zVvgosDFlne5g,Finect - Invertir mejor,5,5,0,,0.018646,0,0,0,36.124402,5,5,100,,,,,1,0,0,50
2026-05-18T02:10:49.522964+00:00,UCPQ2dheMajZPnIleYZHzblg,Pablo Gil Trader,3,3,0,,0.031809,0,0,0,36.124402,3,3,100,,,,,1,0,0,44
2026-05-18T02:10:49.522964+00:00,UCwd8Byi93KbnsYmCcKLExvQ,Negocios TV,33,33,0,,0.019163,0,0,0,36.124402,33,33,100,,,,,0.666667,0.333333,0,95
2026-05-18T02:10:49.522964+00:00,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,6,6,0,,0.018694,0,0,0,36.124402,6,6,100,,,,,1,0,0,53
2026-05-18T02:10:49.522964+00:00,UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,1,1,0,,0.036438,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UC9vUu4vlIlMC0dHQCTvQPbg,The Money Guy Show,6,6,0,,0.015201,0,0,0,36.124402,6,6,100,,,,,1,0,0,53
2026-05-18T02:10:49.522964+00:00,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,19,19,0,,0.01415,0,0,0,36.124402,19,19,100,,,,,1,0,0,92
2026-05-18T02:10:49.522964+00:00,UCK7tptUDHh-RYDsdxO1-5QQ,The Wall Street Journal,1,1,0,,0.011961,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
2026-05-18T02:10:49.522964+00:00,UCBJycsmduvYEL83R_U4JriQ,Marques Brownlee,1,1,0,,0.031778,0,0,0,36.124402,1,1,100,,,,,1,0,0,38
