video_id,lsa_1,lsa_2,lsa_3,lsa_4,lsa_5,lsa_6,lsa_7,lsa_8,lsa_9,lsa_10,lsa_11,lsa_12,lsa_13,lsa_14,lsa_15,lsa_16,lsa_17,lsa_18,lsa_19,lsa_20
SVTPv4sI_Jc,0.01741492,0.00309128,0.03433181,0.00996386,-0.01432409,0.10992083,-0.0263313,0.01403042,-0.00688631,-0.07725466,-0.0070512,0.00212375,0.00066731,0.00721002,-0.04581364,-0.00194727,0.00548204,0.04011177,-0.02550472,0.00700202
V6VQ54eTok0,0.00537748,0.00236511,0.02110099,0.01445986,-0.01533018,0.13858948,-0.04889981,0.02578271,-0.01552021,-0.05217322,-0.00517937,-0.03361235,0.07635317,-0.01195304,0.06262191,-0.07122753,0.03012773,0.17408263,-0.09810614,-0.11148053
lDyiY5vjqaw,0.0142006,0.01170594,0.02526884,0.02611218,-0.00519886,0.06793868,-0.01660685,-0.0079492,0.00148528,-0.00918702,-0.00323755,-0.00743028,-0.00066375,-0.00826432,-0.02265749,-0.02373818,-0.01121028,0.03222404,-0.01714309,-0.01254191
4s9LuOSR3Q4,0.01405777,0.00642655,0.02695632,0.01544993,-0.01429232,0.20564127,-0.07452405,0.04275715,-0.00389556,0.01142348,0.01980077,0.00645018,0.04738533,0.01685492,0.06298022,-0.01560532,-0.04292357,-0.08176075,0.05199494,0.02709931
7Y7Iv5XAXwI,0.01622993,0.01074038,0.03659827,0.01903178,-0.02922926,0.12984835,-0.03577966,0.01022857,0.00488272,0.08377368,-0.00924678,0.00476013,-0.03877249,-0.02178292,-0.10282838,-0.03521618,-0.01298061,0.10794404,-0.04285498,-0.06640428
0GrbT_3jyoc,0.04429672,0.01307485,0.0540615,0.03444506,-0.03761562,0.00409675,0.0033884,-0.03419106,0.05089256,-0.02544904,-0.02797722,0.1876374,0.00081002,-0.03960327,0.00088712,-0.05648026,0.00855886,-0.0018639,-0.01487197,0.00437865
PGBt4pOj4Vc,0.05194669,0.02324636,0.12165715,0.02925655,-0.06339378,0.01663417,0.02675808,-0.08944238,-0.00708498,0.03694493,0.00766778,0.09279012,0.00337534,-0.05970968,-0.03561922,-0.09514785,-0.08732677,-0.04883089,0.05096765,-0.01553322
UncqiOQc4rI,0.01015811,0.00702731,0.03595577,0.01024017,-0.0159415,0.10753115,-0.03856287,0.00427584,-0.01090991,-0.04487483,-0.02273573,0.00364733,0.00101421,-0.03459254,-0.0823036,-0.04350849,-0.09245689,0.15443026,-0.00630649,-0.13502661
ksn5yrsC3Wg,0.020631,0.00701285,0.04724234,0.02496198,-0.02636018,0.24766408,-0.07327687,0.03804044,0.00264191,0.0270573,0.05737053,0.00074932,0.01402886,-0.01246224,0.13261395,-0.00257035,0.01234535,-0.04298956,0.0415865,0.03033655
jKTNMlUEdgU,0.00037121,0.00019338,0.00146284,0.00113718,-0.00057389,0.00643549,-0.00221615,0.00046257,-0.00055371,-0.00177458,0.00117772,-0.00120262,0.00158054,-0.00123837,0.00019739,0.00071898,-0.00044022,-0.00159837,0.00151252,0.00014167
0xt5-FTpASM,0.02391643,-0.00868505,0.01852317,0.01775962,-0.00580186,0.11517401,-0.03370833,0.00431693,0.00948348,0.00915356,0.01441454,-0.01143356,0.01135585,-0.01460865,0.09391754,-0.01072821,0.023203,0.00689289,0.01218602,-0.0010379
IEJALLQFmDs,0.00880919,0.0020066,0.03104441,-0.00010676,-0.00786962,0.13055833,-0.04074728,0.02515029,-0.00477372,-0.08934564,-0.01341986,-0.01946119,-0.01991873,-0.00312719,-0.02888034,0.00895677,0.01934704,-0.05086509,0.02855431,0.09479123
GDex3WIPF7c,0.01259799,0.01024494,0.03104923,0.02431163,-0.01638149,0.16718301,-0.05653352,0.01302763,0.01046674,0.10621705,0.04626413,0.02137039,0.0525024,0.03225672,0.18449525,-0.01784963,-0.03494674,-0.04112071,0.02526019,-0.04528589
